paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,,,149.5,17.2,,80,40,,,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",904.0,298.4,,,g m-2,0.78,0.43,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,,,272.5,29.8,,80,40,,,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",998.1,440.1,,,g m-2,0.86,0.63,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,,,413.5,59.5,,80,40,,,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",962.2,516.7,,,g m-2,0.83,0.74,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,,,585.8,87.0,,80,40,,,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",1155.4,620.1,,,g m-2,1.0,0.89,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,,,630.0,127.5,,80,40,,,40,kg N ha-1,4,4,4,4,"Table 4, Table 5",975.1,698.8,,,g m-2,0.84,1.0,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,99.2,17.5,,,,,,,,40,kg N ha-1,,,4,4,"Table 4, Table 5",,,760.3,134.0,g m-2,0.66,0.19,0.85
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,98.0,34.2,,,,,,,,40,kg N ha-1,,,4,4,"Table 4, Table 5",,,700.0,188.5,g m-2,0.6,0.27,0.87
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,92.0,52.5,,,,,,,,40,kg N ha-1,,,4,4,"Table 4, Table 5",,,759.1,253.2,g m-2,0.66,0.36,1.02
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,89.0,63.2,,,,,,,,40,kg N ha-1,,,4,4,"Table 4, Table 5",,,672.9,286.7,g m-2,0.58,0.41,0.99
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,direct_llm,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,8-10 September 1988,8-10 September 1988,,61.2,,Europe,Avena sativa,Vicia faba,cereal,legume,0,0,Mixed,229.8,19.8,,,,,,,,40,kg N ha-1,,,4,4,"Table 4, Table 5",,,891.7,77.2,g m-2,0.77,0.11,0.88
