paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,9127,4045,5506,1502,kg ha-1,,,0.97
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,60,0,60,0,60,kg N ha-1,4,4,4,4,Table 1,11450,4045,7272,1461,kg ha-1,,,1.0
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,120,0,120,0,120,kg N ha-1,4,4,4,4,Table 1,10762,4045,8254,1377,kg ha-1,,,1.11
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,60000,335000,60000,500000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,7591,4045,5627,1700,kg ha-1,,,1.16
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,60000,335000,60000,500000,,60,0,60,0,60,kg N ha-1,4,4,4,4,Table 1,10319,4045,8868,1485,kg ha-1,,,1.23
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,60000,335000,60000,500000,,120,0,120,0,120,kg N ha-1,4,4,4,4,Table 1,10398,4045,8364,1594,kg ha-1,,,1.2
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),Mid-May 1985,Mid-May 1985,Late September 1985,Late September 1985,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,120,0,120,0,120,kg N ha-1,4,4,4,4,Table 1,10762,4045,8026,44382,kg ha-1,,,1.17
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),Mid-May 1986,Mid-May 1986,Late September 1986,Late September 1986,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,10995,6447,7319,2874,kg ha-1,,,1.11
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),Mid-May 1986,Mid-May 1986,Late September 1986,Late September 1986,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,60,0,60,0,60,kg N ha-1,4,4,4,4,Table 1,14684,6447,10775,2496,kg ha-1,,,1.12
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),Mid-May 1986,Mid-May 1986,Late September 1986,Late September 1986,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,100000,335000,60000,500000,,120,0,120,0,120,kg N ha-1,4,4,4,4,Table 1,14166,6447,10896,2246,kg ha-1,,,1.12
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),Mid-May 1986,Mid-May 1986,Late September 1986,Late September 1986,,45.0,,North America,Zea mays,Glycine max,cereal,legume,1,1,Row,60000,335000,60000,500000,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,10423,6447,8691,2483,kg ha-1,,,1.22
