paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,0,0,0,0,0,kg N ha-1,4,4,4,4,"Table 1, Table 2",9783,5651,,,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,25,25,25,25,25,kg N ha-1,4,4,4,4,"Table 1, Table 2",12529,8225,,,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,50,50,50,50,50,kg N ha-1,4,4,4,4,"Table 1, Table 2",15802,7073,,,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,100,100,100,100,100,kg N ha-1,4,4,4,4,"Table 1, Table 2",17323,7232,,,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,0,0,0,0,0,kg N ha-1,4,4,4,4,"Table 1, Table 2",10860,5651,9223,2823,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,25,25,25,25,25,kg N ha-1,4,4,4,4,"Table 1, Table 2",11526,8225,8389,2587,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,50,50,50,50,50,kg N ha-1,4,4,4,4,"Table 1, Table 2",12770,7073,12037,2793,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,100,100,100,100,100,kg N ha-1,4,4,4,4,"Table 1, Table 2",17474,7232,12161,2946,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,0,0,0,0,0,kg N ha-1,4,4,4,4,"Table 1, Table 2",9783,5651,10036,2947,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,25,25,25,25,25,kg N ha-1,4,4,4,4,"Table 1, Table 2",12529,8225,10385,3336,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,50,50,50,50,50,kg N ha-1,4,4,4,4,"Table 1, Table 2",15802,7073,12279,2845,kg ha-1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982,124 days,split plot with four replicates,9 December 1982,9 December 1982,110 days after sowing,124 days after sowing,,-32.85,115.92,Australia,maize,cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,100,100,100,100,100,kg N ha-1,4,4,4,4,"Table 1, Table 2",17323,7232,11575,2822,kg ha-1,,,
