paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium alexandrium,cereal,legume,0,1,Row,,,,,,0,,0,,0,kg N ha-1,4,4,4,4,Table 2,3.3,,3.8,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium alexandrium,cereal,legume,0,1,Row,,,,,,50,,50,,50,kg N ha-1,4,4,4,4,Table 2,4.2,,4.5,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Vicia sativa,cereal,legume,0,1,Row,,,,,,0,,0,,0,kg N ha-1,4,4,4,4,Table 2,3.3,,3.7,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Vicia sativa,cereal,legume,0,1,Row,,,,,,50,,50,,50,kg N ha-1,4,4,4,4,Table 2,4.2,,4.3,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Vicia villosa,cereal,legume,0,1,Row,,,,,,0,,0,,0,kg N ha-1,4,4,4,4,Table 2,3.3,,3.5,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Vicia villosa,cereal,legume,0,1,Row,,,,,,50,,50,,50,kg N ha-1,4,4,4,4,Table 2,4.2,,4.2,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium incarnatum,cereal,legume,0,1,Row,,,,,,0,,0,,0,kg N ha-1,4,4,4,4,Table 2,3.3,,3.5,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium incarnatum,cereal,legume,0,1,Row,,,,,,50,,50,,50,kg N ha-1,4,4,4,4,Table 2,4.2,,4.1,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium repens (Ladino),cereal,legume,0,1,Row,,,,,,0,,0,,0,kg N ha-1,4,4,4,4,Table 2,3.3,,3.2,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,direct_llm,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,Randomized Complete Block Design (RCBD),December 1989,December 1989,April 1990,,,27.3333,-109.9,North America,Triticum aestivum,Trifolium repens (Ladino),cereal,legume,0,1,Row,,,,,,50,,50,,50,kg N ha-1,4,4,4,4,Table 2,4.2,,4.2,,t/ha,,,
