paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 1, Figure 1, Text",9300,1000,7440,430,kg ha-1,0.8,0.43,1.23
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,29 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 1, Figure 1, Text",9300,1000,8370,650,kg ha-1,0.9,0.65,1.55
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,9 January 1983,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 1, Figure 1, Text",9300,1000,8370,750,kg ha-1,0.9,0.75,1.65
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),9 January 1983,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 1, Figure 1, Text",9300,1000,6045,270,kg ha-1,0.65,0.27,0.92
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),9 January 1983,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 1, Figure 1, Text",9300,1000,5900,270,kg ha-1,0.63,0.27,0.9
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35000,70000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 3, Figure 3, Text",9300,1000,7440,430,kg ha-1,0.8,0.43,1.23
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 3, Figure 3, Text",9300,1000,7440,550,kg ha-1,0.8,0.55,1.35
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35000,140000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 3, Figure 3, Text",9300,1000,7440,700,kg ha-1,0.8,0.7,1.5
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,70000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 3, Figure 3, Text",9300,1000,7161,530,kg ha-1,0.77,0.53,1.3
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982/83,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,~19 April 1983,~19 April 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha-1,4,4,4,4,"Table 3, Figure 3, Text",9300,1000,7161,540,kg ha-1,0.77,0.54,1.31
