paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,18.03,61.97,9.77,35.43,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,18.03,61.97,9.73,34.99,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,18.03,61.97,9.05,32.61,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,18.03,61.97,9.86,38.09,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Raphanus sativus,cereal,vegetable,0,0,Row,,,,,,60,50,,,,kg N ha-1,3,3,3,3,Table 1,18.03,243.8,10.61,70.99,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Raphanus sativus,cereal,vegetable,0,0,Row,,,,,,60,50,,,,kg N ha-1,3,3,3,3,Table 1,18.03,243.8,13.24,100.5,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Raphanus sativus,cereal,vegetable,0,0,Row,,,,,,60,50,,,,kg N ha-1,3,3,3,3,Table 1,18.03,243.8,9.05,101.22,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized block design,Second week of July 1998,Second week of July 1998,Last week of October 1998,30 August to 30 October 1998 (Okra); 14 August to 4 September 1998 (Radish),,20.47,84.23,Asia,Oryza sativa,Raphanus sativus,cereal,vegetable,0,0,Row,,,,,,60,50,,,,kg N ha-1,3,3,3,3,Table 1,18.03,243.8,11.39,95.09,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1999,,Randomized block design,Last week of June 1999,Last week of June 1999,Third week of September 1999,20 August to 28 September 1999 (Okra); 5 August to 21 August 1999 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,34.9,61.6,21.91,28.95,q/ha,,,
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,mas,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1999,,Randomized block design,Last week of June 1999,Last week of June 1999,Third week of September 1999,20 August to 28 September 1999 (Okra); 5 August to 21 August 1999 (Radish),,20.47,84.23,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,60,75,,,,kg N ha-1,3,3,3,3,Table 1,34.9,61.6,25.92,39.41,q/ha,,,
