paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",1833,1920,2045,,kg ha-1,0.54,0.55,1.09
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",1040,1140,1543,,kg ha-1,0.86,0.57,1.43
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92000,36000,92000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",2249,1920,2472,,kg ha-1,0.31,0.92,1.23
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92000,36000,92000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",1896,1140,1252,,kg ha-1,0.34,0.58,0.92
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",600,405,611,,kg ha-1,0.73,0.43,1.16
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",1363,1674,1816,,kg ha-1,0.74,0.49,1.23
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92000,36000,92000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",759,405,655,,kg ha-1,0.62,0.45,1.07
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1983,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,92000,36000,92000,27000,,,,,,,,4,4,4,4,"Table 3, Table 4",1508,1674,2121,,kg ha-1,0.8,0.54,1.34
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,Table 4,605,387,230,288,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,direct_llm,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982,,Randomized Complete Block Design,,,,,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0,0,Row,13000,6000,14000,27000,,,,,,,,4,4,4,4,Table 4,286,238,142,152,kg ha-1,,,
