paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot designs,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30,154,63,275,1.13,,5,,5,5,g N m-2,3,3,3,3,Table 3,456,412,,479,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,Randomized split-plot designs,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,30,154,63,275,1.06,5.0,5,5.0,5,5,g N m-2,3,3,3,3,Table 3,357,550,,541,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot designs,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35,185,65,381,1.31,,5,,5,5,g N m-2,3,3,3,3,Table 3,437,355,,509,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,Randomized split-plot designs,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,35,185,65,381,1.13,5.0,5,5.0,5,5,g N m-2,3,3,3,3,Table 3,456,467,,519,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot designs,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45,167,88,299,1.17,,5,,5,5,g N m-2,3,3,3,3,Table 3,714,473,,658,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,Randomized split-plot designs,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,45,167,88,299,1.02,5.0,5,5.0,5,5,g N m-2,3,3,3,3,Table 3,767,615,,665,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot designs,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48,178,88,356,1.12,,5,,5,5,g N m-2,4,4,4,4,Table 3,659,332,,561,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,Randomized split-plot designs,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,48,178,88,356,1.0,5.0,5,5.0,5,5,g N m-2,4,4,4,4,Table 3,661,579,,607,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,23 April,46 days after emergence,46 days after emergence,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,70,300,70,300,,10,10,10,10,10,kg N ha-1,8,8,8,8,Table 2,2630±191,3927±239,604±74,3974±438,kg DM ha-1,,,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,23 April,74 days after emergence,74 days after emergence,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,70,300,70,300,,10,10,10,10,10,kg N ha-1,8,8,8,8,Table 2,2630±191,3927±239,604±74,3974±438,kg DM ha-1,,,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April,23 April,111 days after emergence (Maturity),111 days after emergence (Maturity),,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0.0,0.0,Mixed,70,300,70,300,,10,10,10,10,10,kg N ha-1,8,8,8,8,Table 2,2630±191,3927±239,604±74,3974±438,kg DM ha-1,,,
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,25% RD (62.5 plants/m²),25% RD (6.25 plants/m²),25% RD (62.5 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,0.69,0.41,0.35,t/ha,0.41,0.35,0.76
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,50% RD (125 plants/m²),25% RD (6.25 plants/m²),50% RD (125 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,0.69,0.73,0.36,t/ha,0.73,0.36,1.06
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,75% RD (187.5 plants/m²),25% RD (6.25 plants/m²),75% RD (187.5 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,0.69,0.78,0.24,t/ha,0.78,0.24,1.02
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,100% RD (250 plants/m²),25% RD (6.25 plants/m²),100% RD (250 plants/m²),25% RD (6.25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,0.69,0.92,0.35,t/ha,0.92,0.35,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,25% RD (62.5 plants/m²),50% RD (12.5 plants/m²),25% RD (62.5 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,1.38,0.32,0.54,t/ha,0.32,0.54,0.86
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,50% RD (125 plants/m²),50% RD (12.5 plants/m²),50% RD (125 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,1.38,0.53,0.55,t/ha,0.53,0.55,1.08
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,75% RD (187.5 plants/m²),50% RD (12.5 plants/m²),75% RD (187.5 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,1.38,0.75,0.31,t/ha,0.75,0.31,1.05
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,100% RD (250 plants/m²),50% RD (12.5 plants/m²),100% RD (250 plants/m²),50% RD (12.5 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,1.38,0.82,0.43,t/ha,0.82,0.43,1.25
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,25% RD (62.5 plants/m²),75% RD (18.75 plants/m²),25% RD (62.5 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,2.07,0.32,0.63,t/ha,0.32,0.63,0.94
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,50% RD (125 plants/m²),75% RD (18.75 plants/m²),50% RD (125 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,2.07,0.5,0.66,t/ha,0.5,0.66,1.16
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,75% RD (187.5 plants/m²),75% RD (18.75 plants/m²),75% RD (187.5 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,2.07,0.73,0.56,t/ha,0.73,0.56,1.29
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,100% RD (250 plants/m²),75% RD (18.75 plants/m²),100% RD (250 plants/m²),75% RD (18.75 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.35,2.07,0.67,0.6,t/ha,0.67,0.6,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,25% RD (62.5 plants/m²),100% RD (25 plants/m²),25% RD (62.5 plants/m²),100% RD (25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",0.92,2.76,0.28,0.69,t/ha,0.28,0.69,0.97
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1987–1988,~11 months (Nov 1987 to Oct 1988),Randomized Complete Block Design (RCBD) with 3 blocks,5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field beans (Vicia faba),cereal,legume,0.0,0.0,Mixed,50% RD (125 plants/m²),100% RD (25 plants/m²),50% RD (125 plants/m²),100% RD (25 plants/m²),,0,0,0,0,0,kg N ha⁻¹,3,3,3,3,"Table 1, Table 3, Table 4, Figure 1",1.36,2.76,0.53,0.62,t/ha,0.53,0.62,1.15
