paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,,legume,,0,,,,,,,,25,,,,,kg N ha-1,4,4,,,Table 2,2.43,,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Maize,legume,cereal,0,1,,,,,,,,60,,,,kg N ha-1,,4,,,Table 1,,10.25,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Sorghum,legume,cereal,0,1,,,,,,,,60,,,,kg N ha-1,,4,,,Table 1,,9.1,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Pearl millet,legume,cereal,0,1,,,,,,,,60,,,,kg N ha-1,,4,,,Table 1,,12.6,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Sorghum,legume,cereal,0,1,,,,,,,,80,,,,kg N ha-1,,4,,,Table 1,,14.96,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Pearl millet,legume,cereal,0,1,,,,,,,,80,,,,kg N ha-1,,4,,,Table 1,,17.72,,,t/ha,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Maize,legume,cereal,0,1,Row,,,,,25.98,,,25,60,85,kg N ha-1,,,4,4,"Table 1, Table 2, Table 3",,,2.29,9.0,t/ha,,,1.68
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Sorghum,legume,cereal,0,1,Row,,,,,17.35,,,25,60,85,kg N ha-1,,,4,4,"Table 1, Table 2, Table 3",,,2.2,7.98,t/ha,,,1.34
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Pearl millet,legume,cereal,0,1,Row,,,,,8.74,,,25,60,85,kg N ha-1,,,4,4,"Table 1, Table 2, Table 3",,,2.19,11.81,t/ha,,,1.49
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Sorghum,legume,cereal,0,1,Row,,,,,10.67,,,25,80,105,kg N ha-1,,,4,4,"Table 1, Table 2, Table 3",,,2.04,10.8,t/ha,,,1.43
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,static_workflow,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,,completely randomized block design,first week of February,first week of February,,,,21.31,70.36,Asia,Groundnut,Pearl millet,legume,cereal,0,1,Row,,,,,11.7,,,25,80,105,kg N ha-1,,,4,4,"Table 1, Table 2, Table 3",,,2.01,16.5,t/ha,,,1.54
