paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Wheat,,cereal,,1,,,,,448,,,80,,,,,kg ha-1,4,,,,Table 1,30.49,,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Wheat,legume,cereal,1,1,Mixed,198,162,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,13.29,12.28,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Wheat,legume,cereal,1,1,Mixed,234,126,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,12.78,8.28,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Triticale,,cereal,,1,,,,,459,,,80,,,,,kg ha-1,4,,,,Table 1,30.74,,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Triticale,legume,cereal,1,1,Mixed,198,162,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,9.43,12.57,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Triticale,legume,cereal,1,1,Mixed,234,126,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,13.81,8.31,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Barley,,cereal,,1,,,,,455,,,80,,,,,kg ha-1,4,,,,Table 1,30.09,,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Barley,legume,cereal,1,1,Mixed,198,162,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,6.85,19.55,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Barley,legume,cereal,1,1,Mixed,234,126,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,9.88,13.18,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Oat,,cereal,,1,,,,,,,,80,,,,,kg ha-1,4,,,,Table 1,33.23,,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,Oat,legume,cereal,1,1,Mixed,198,162,,,,,,,,80,kg ha-1,,,4,4,Table 1,,,7.67,19.7,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2004–2005,2 growing seasons,Randomized complete block design (RCBD),last week of November,last week of November,mid May,mid May,,0.535833,22.985,Europe,Common vetch,,legume,,1,,,,,314,,,80,,,,,kg ha-1,4,,,,Table 1,20.49,,,,Mg ha-1,,,
