paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,,,11,,,,,,,,,4,,,,Table 2,566,,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,,,22,,,,,,,,,4,,,,Table 2,837,,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,5.5,2,,,,,,,,,,4,4,4,4,Table 2,,,288,203,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,5.5,4,,,,,,,,,,4,4,4,4,Table 2,,,257,279,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,11,2,,,,,,,,,,4,4,4,4,Table 2,,,408,169,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,11,4,,,,,,,,,,4,4,4,4,Table 2,,,408,302,g m-2,,,1.56
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,,,,4,,,,,,,,,4,,,Table 2,,359,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1995,105 d,Randomized Complete Block Design (RCBD),19 June 1995,19 June 1995,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celeriac (Apium graveolens var. rapaceum),vegetable,vegetable,0,0,Row,,,,8,,,,,,,,,4,,,Table 2,,577,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Randomized Complete Block Design (RCBD),30 May 1996,30 May 1996,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celery (Apium graveolens var. dulce),vegetable,vegetable,0,0,Row,,,20,,,,,,,,,4,,,,Table 6,809,,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Randomized Complete Block Design (RCBD),30 May 1996,30 May 1996,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celery (Apium graveolens var. dulce),vegetable,vegetable,0,0,Row,,,40,,,,,,,,,4,,,,Table 6,995,,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Randomized Complete Block Design (RCBD),30 May 1996,30 May 1996,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celery (Apium graveolens var. dulce),vegetable,vegetable,0,0,Row,,,60,,,,,,,,,4,,,,Table 6,1080,,,,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Randomized Complete Block Design (RCBD),30 May 1996,30 May 1996,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celery (Apium graveolens var. dulce),vegetable,vegetable,0,0,Row,10,5,,,,,,,,,,4,4,4,4,Table 6,,,279,780,g m-2,,,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,direct_llm,Baumann 2001 Competition and crop performance in a leek celery intercropping system,1996,105 d,Randomized Complete Block Design (RCBD),30 May 1996,30 May 1996,,,,47.2167,8.6667,Europe,Leek (Allium porrum),Celery (Apium graveolens var. dulce),vegetable,vegetable,0,0,Row,20,10,,,,,,,,,,4,4,4,4,Table 6,,,328,728,g m-2,,,1.1
