paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1911,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1998,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1320,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1999,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1913,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2000,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1658,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2001,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1529,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,Pooled,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,1666,,,,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1350,215,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1998,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1527,234,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1999,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1217,204,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2000,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1350,277,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2001,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1335,232,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1327,356,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1998,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1190,241,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1999,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1550,275,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2000,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1453,259,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2001,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1374,277,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,2126,487,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1998,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1435,306,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1999,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,2054,435,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2000,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,2142,304,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,2001,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1918,378,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1997,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1935,521,kg ha−1,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,static_workflow,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,1998,,randomized complete block design,,,,,,24.2367,86.6056,Asia,Wheat,Chickpea,cereal,legume,0,0,Row,,,,,,60,20,,,,kg N ha−1,3,3,3,3,Table 1,,,1524,312,kg ha−1,,,
