paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2001,,Randomized Complete Block Design (RCBD),10 April 2001,10 April 2001,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,,,80,250,,,,,,,,4,4,,,Table 2 – Grain yield (g m⁻²),570,,,,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2002,,Randomized Complete Block Design (RCBD),28 March 2002,28 March 2002,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,,,80,120,,,,,,,,4,4,,,Table 2 – Grain yield (g m⁻²),74,,,,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2002,,Randomized Complete Block Design (RCBD),28 March 2002,28 March 2002,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,,,80,120,,,,,,,,4,4,,,Table 2 – Grain yield (g m⁻²),620,,,,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2003,,Randomized Complete Block Design (RCBD),12 March 2003,12 March 2003,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,,,80,250,,,,,,,,3,3,,,Table 2 – Grain yield (g m⁻²),62,,,,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2003,,Randomized Complete Block Design (RCBD),12 March 2003,12 March 2003,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,,,80,250,,,,,,,,3,3,,,Table 2 – Grain yield (g m⁻²),415,,,,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2001,,Randomized Complete Block Design (RCBD),10 April 2001,10 April 2001,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,78,32,,,,,,,,,,,,4,4,Table 2 – Grain yield (g m⁻²),,,350,190,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2001,,Randomized Complete Block Design (RCBD),10 April 2001,10 April 2001,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,75,69,,,,,,,,,,,,4,4,Table 2 – Grain yield (g m⁻²),,,300,270,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2003,,Randomized Complete Block Design (RCBD),12 March 2003,12 March 2003,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,45,100,,,,,,,,,,,,3,3,Table 2 – Grain yield (g m⁻²),,,340,200,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2003,,Randomized Complete Block Design (RCBD),12 March 2003,12 March 2003,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,43,127,,,,,,,,,,,,3,3,Table 2 – Grain yield (g m⁻²),,,430,450,g m⁻²,,,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,14,mas,Corre-Hellou 2006 Interspecific competition for soil N and its interaction with N-2 fixation,2003,,Randomized Complete Block Design (RCBD),12 March 2003,12 March 2003,,,,,,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,false,false,Row,96,118,,,,,,,,,,,,3,3,Table 2 – Grain yield (g m⁻²),,,490,190,g m⁻²,,,
