paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,17 May 2002,15 June 2002,5 October 2002,5 October 2002,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,4.66,2.57,,,t/ha,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,17 May 2002,15 June 2002,5 October 2002,5 October 2002,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,,,3.7,1.47,t/ha,0.79,0.57,1.36
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2001,,completely random design,17 May 2001,15 June 2001,5 October 2001,5 October 2001,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,4.23,2.61,,,t/ha,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2001,,completely random design,17 May 2001,15 June 2001,5 October 2001,5 October 2001,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 1,,,3.67,1.42,t/ha,0.87,0.54,1.41
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,17 May 2002,15 June 2002,5 October 2002,5 October 2002,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 4,10.4,14.9,,,g N m-2,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,17 May 2002,15 June 2002,5 October 2002,5 October 2002,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 4,,,16.6,11.7,g N m-2,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2001,,completely random design,17 May 2001,15 June 2001,5 October 2001,5 October 2001,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 4,12.5,13.3,,,g N m-2,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2001,,completely random design,17 May 2001,15 June 2001,5 October 2001,5 October 2001,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,0,kg N ha-1,4,4,4,4,Table 4,,,15.8,12.1,g N m-2,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,15 May 2002,10 June 2002,,,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,15,0,0,0,0,kg N ha-1,4,4,4,4,Table 5,8.0,,,,g plant-1,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,15 May 2002,10 June 2002,,,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,75,0,0,0,0,kg N ha-1,4,4,4,4,Table 5,9.4,,,,g plant-1,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,15 May 2002,10 June 2002,,,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,150,0,0,0,0,kg N ha-1,4,4,4,4,Table 5,10.8,,,,g plant-1,,,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,15,direct_llm,Chu 2004 Nitrogen fixation and N transfer from peanut to rice cultivated in aerobic soil in an intercropping,2002,,completely random design,15 May 2002,10 June 2002,,,,,,Asia,Rice,Peanut,cereal,legume,0,0,Row,,,,,,0,0,0,0,15,kg N ha-1,4,4,4,4,Table 5,,,10.0,,g plant-1,,,
