paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2001,,Randomized Complete Block Design (RCBD),21 June 2001,21 June 2001,20 November 2001,20 November 2001,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,2744,1470,kg ha-1,0.88,0.39,1.07
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2002,,Randomized Complete Block Design (RCBD),22 June 2002,22 June 2002,14 November 2002,14 November 2002,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,1488,665,kg ha-1,0.81,0.55,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,2003,,Randomized Complete Block Design (RCBD),24 June 2003,24 June 2003,7 November 2003,7 November 2003,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,1896,1320,kg ha-1,0.85,0.46,1.16
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,,,125,,,41,,,,,kg N ha-1,4,,,,Table 3,2396,,,,kg ha-1,1.0,,1.0
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,,,,200,,,18,,,,kg N ha-1,,4,,,Table 3,,2521,,,kg ha-1,,1.0,1.0
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,25,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,2237,312,kg ha-1,0.93,0.12,1.05
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,50,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,2036,576,kg ha-1,0.85,0.23,1.08
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,75,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,2042,945,kg ha-1,0.85,0.38,1.23
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,100,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,1831,1023,kg ha-1,0.76,0.41,1.17
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,17,mas,Agegnehu 2006 Yield performance and land use efficiency of barley and faba bean mixed cropping,,,Randomized Complete Block Design (RCBD),,,,,,9.05,38.5,Africa,Barley,Faba bean,cereal,legume,0,0,Mixed,125,125,125,200,,41,18,41,18,59,kg N ha-1,4,4,4,4,Table 3,,,1762,1203,kg ha-1,0.73,0.48,1.21
