paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,second week of July,,,3.1333,102.0667,Asia,Triticum aestivum,,cereal,,0,,,,,,,,225,,,,,kg N ha-1,3,,,,Table 1,6453,,,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,second week of July,first week of October,,3.1333,102.0667,Asia,Triticum aestivum,Vicia faba,cereal,legume,0,0,Row,,,,,,,,225,225,225,kg N ha-1,,,3,3,Table 1,,,8395,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,second week of July,first week of August,,3.1333,102.0667,Asia,Triticum aestivum,Zea mays,cereal,cereal,0,0,Row,,,,,,,,225,225,225,kg N ha-1,,,3,3,Table 1,,,8155,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of August,,,3.1333,102.0667,Asia,Zea mays,,cereal,,0,,,,,,,,225,,,,,kg N ha-1,3,,,,Table 1,11617,,,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of August,first week of October,,3.1333,102.0667,Asia,Zea mays,Vicia faba,cereal,legume,0,0,Row,,,,,,,,225,225,225,kg N ha-1,,,3,3,Table 1,,,16217,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of August,,,3.1333,102.0667,Asia,Zea mays,,cereal,,0,,,,,,,,225,,,,,kg N ha-1,3,,,,Table 1,17333,,,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of October,,,3.1333,102.0667,Asia,Vicia faba,,legume,,0,,,,,,,,225,,,,,kg N ha-1,3,,,,Table 1,5112,,,,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of October,second week of July,,3.1333,102.0667,Asia,Vicia faba,Triticum aestivum,legume,cereal,0,0,Row,,,,,,,,225,225,225,kg N ha-1,,,3,3,Table 1,,,,5360,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2004,,Randomized Complete Block Design (RCBD),,,first week of October,first week of August,,3.1333,102.0667,Asia,Vicia faba,Zea mays,legume,cereal,0,0,Row,,,,,,,,225,225,225,kg N ha-1,,,3,3,Table 1,,,,6720,kg ha-1,,,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,22,direct_llm,Song et al 2007 Effect of intercropping on crop yield and chemical and microiological properties,2005,,Randomized Complete Block Design (RCBD),,,second week of July,,,3.1333,102.0667,Asia,Triticum aestivum,,cereal,,0,,,,,,,,225,,,,,kg N ha-1,3,,,,Table 1,5262,,,,kg ha-1,,,
