paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),,oilseed,,0,,,,,,,,30,,,,,kg N ha-1,3,,,,Table 1,0.65,,,,t ha-1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,,Pea (Pisum sativum),,legume,,0,,,,,,,,20,,,,kg N ha-1,,3,,,Table 1,,1.21,,,t ha-1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,,Lentil (Lens culinaris),,legume,,0,,,,,,,,20,,,,kg N ha-1,,3,,,Table 1,,0.81,,,t ha-1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,,Gram (Cicer arietinum),,legume,,0,,,,,,,,20,,,,kg N ha-1,,3,,,Table 1,,0.72,,,t ha-1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Pea (Pisum sativum),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.36,0.66,t ha-1,,,1.117
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Lentil (Lens culinaris),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.39,0.47,t ha-1,,,1.219
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Gram (Cicer arietinum),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.38,0.31,t ha-1,,,1.044
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Pea (Pisum sativum),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.49,0.5,t ha-1,,,1.147
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Lentil (Lens culinaris),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.53,0.29,t ha-1,,,1.169
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,direct_llm,Banik et al 2000 Evaluation of mustard and legume intercropping,1981-82,,Randomized block design,14 Oct 1981,14 Oct 1981,,,,,,Asia,Mustard (Brassica campestris var. toria),Gram (Cicer arietinum),oilseed,legume,0,0,Row,,,,,,30,20,30,20,50,kg N ha-1,3,3,3,3,Table 1; Table 2,,,0.46,0.21,t ha-1,,,0.977
