paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),,oilseed,,0,,,,,,,,20,,,,,kg N ha‑1,3,,,,Table 1,0.65,,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),,oilseed,,0,,,,,,,,20,,,,,kg N ha‑1,3,,,,Table 1,0.77,,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Pisum sativum (pea),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,1.21,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Pisum sativum (pea),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,1.06,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Lens culinaris (lentil),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,0.81,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Lens culinaris (lentil),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,0.83,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Cicer arietinum (gram),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,0.72,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Cicer arietinum (gram),,legume,,0,,,,,,,,,20,,,,kg N ha‑1,,3,,,Table 1,,0.74,,,t ha‑1,,,
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Pisum sativum (pea),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.36,0.66,t ha‑1,,,1.117
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Pisum sativum (pea),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.47,0.57,t ha‑1,,,1.117
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Lens culinaris (lentil),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.39,0.47,t ha‑1,,,1.219
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Lens culinaris (lentil),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.51,0.32,t ha‑1,,,1.169
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Cicer arietinum (gram),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.46,0.21,t ha‑1,,,0.977
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Cicer arietinum (gram),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.51,0.24,t ha‑1,,,0.977
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Pisum sativum (pea),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.49,0.5,t ha‑1,,,1.147
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Pisum sativum (pea),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.52,0.51,t ha‑1,,,1.147
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Lens culinaris (lentil),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.53,0.29,t ha‑1,,,1.169
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Lens culinaris (lentil),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.61,0.32,t ha‑1,,,1.169
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1992-93,,Randomized Complete Block Design (RCBD),14 October 0881,,,,,,,Asia,Brassica campestris var. toria (mustard),Cicer arietinum (gram),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.46,0.21,t ha‑1,,,0.977
023_Banik_et_al_2000_Evaluation_of_mustard_and_legume_,23,23,mas,Banik et al 2000 Evaluation of mustard and legume intercropping,1993-94,,Randomized Complete Block Design (RCBD),,1 November 0882,,,,,,Asia,Brassica campestris var. toria (mustard),Cicer arietinum (gram),oilseed,legume,0,0,Row,,,,,,20,20,30,20,50,kg N ha‑1,3,3,3,3,Table 1,,,0.51,0.24,t ha‑1,,,0.977
