paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,0.83,0.25,1.08
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,1.25,0.15,1.4
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,0.63,0.19,0.82
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,1.1,0.07,1.17
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,0.78,0.29,1.07
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,0.81,0.09,0.9
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,0.56,0.29,0.85
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1991-1992,,Randomised Complete Block Design (RCBD),16 October 1991,16 October 1991,6 August 1992,6 August 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,3,3,3,3,Table 1,,,,,,1.03,0.31,1.34
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,,Randomised Complete Block Design (RCBD),8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,4,4,4,4,Table 2,,,,,,0.34,0.87,1.21
027_Haymes_et_al_1999_Competition_between_autumn_and_s,27,27,direct_llm,Haymes et al 1999 Competition between autumn and spring planted grain inetrcrops of wheat and field bean,1992,,Randomised Complete Block Design (RCBD),8 March 1992,8 March 1992,9 September 1992,9 September 1992,,51.0169,0.0853,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,0,0,Row,,,200,2.3,,,,,,,,4,4,4,4,Table 2,,,,,,0.37,0.68,1.05
