paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,2 m (1993),,,,,,Zea mays L.,,cereal,,0,,Row,80000,,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 5 (1993),7994,,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,,3 m (1993),,,,,,Glycine max L.,,legume,,0,Row,,,,,,,,,,,kg ha‑1,4,4,4,4,Table 5 (1993),,1662,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,,3 m (1993),,,,,,Lupinus albus L.,,legume,,0,Row,,,,,,,,,,,kg ha‑1,4,4,4,4,Table 5 (1993),,1591,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,2 m (1993),3 m (1993),,,,,Zea mays L.,Glycine max L.,cereal,legume,0,0,Row,80000,250000,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 5 (1993),,,7880,69,kg ha‑1,,,1.09
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,3.5 m (1994),,,,,,Zea mays L.,,cereal,,0,,Row,80000,,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 7 (1994),6861,,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,,3.5 m (1994),,,,,,Glycine max L.,,legume,,0,Row,,,,,,,,,,,kg ha‑1,4,4,4,4,Table 7 (1994),,2059.6,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,,3.5 m (1994),,,,,,Lupinus albus L.,,legume,,0,Row,,,,,,,,,,,kg ha‑1,4,4,4,4,Table 7 (1994),,664.3,,,kg ha‑1,,,
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,3.5 m (1994),3.5 m (1994),,,,,Zea mays L.,Glycine max L.,cereal,legume,0,0,Row,80000,250000,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 7 (1994),,,3749,1329.5,kg ha‑1,,,1.25
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1994,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,3.5 m (1994),3.5 m (1994),,,,,Zea mays L.,Lupinus albus L.,cereal,legume,0,0,Row,80000,250000,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 7 (1994),,,2947,7.6,kg ha‑1,,,0.46
030_Carruthers_et_al_2000_Intercropping_corn_with_soyb,30,30,static_workflow,"Carruthers et al 2000 Intercropping corn with soybean, lupin and forages",1993,2 years (1993–1994),randomized complete block design with four blocks,mid May,mid May,2 m (1993),,,,,,Zea mays L.,,cereal,,0,,Row,80000,,80000,,,,,,,,kg ha‑1,4,4,4,4,Table 9 (1993),8924,,,,kg ha‑1,,,
