paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,,cereal,,0,,,,,53333,,,,,,,,,4,,,,"Table 4, Table 1",1.97,,,,t ha⁻¹,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,,cereal,,0,,,,,53333,,,,,,,,,4,,,,"Table 4, Table 1",4.64,,,,t ha⁻¹,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cassava,cereal,root crop,0,0,Strip,20000,5000,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.63,,t ha⁻¹,,,1.72
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cassava,cereal,root crop,0,0,Strip,20000,5000,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.57,,t ha⁻¹,,,1.47
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cassava,cereal,root crop,0,0,Row,26667,4444,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.51,,t ha⁻¹,,,1.67
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cassava,cereal,root crop,0,0,Row,26667,4444,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.41,,t ha⁻¹,,,1.46
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Strip,26667,53333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.3,,t ha⁻¹,,,1.3
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Strip,26667,53333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.44,,t ha⁻¹,,,1.06
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,26667,53333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.39,,t ha⁻¹,,,1.47
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,26667,53333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.39,,t ha⁻¹,,,1.14
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Soybean,cereal,legume,0,0,Strip,26667,106667,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.47,,t ha⁻¹,,,1.26
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Soybean,cereal,legume,0,0,Strip,26667,106667,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.51,,t ha⁻¹,,,0.98
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Soybean,cereal,legume,0,0,Row,26667,133333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,1.44,,t ha⁻¹,,,1.32
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,Randomized Complete Block Design (RCBD),,,,,,,,,Maize,Soybean,cereal,legume,0,0,Row,26667,133333,,,,,,,,,,,,4,,"Table 4, Table 1, Table 7",,,2.43,,t ha⁻¹,,,1.07
