paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,mas,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
