paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,0,,,,,kg N ha-1,4,,,,Table 1,9127,,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,60,,,,,kg N ha-1,4,,,,Table 1,11450,,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,120,,,,,kg N ha-1,4,,,,Table 1,10762,,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,,,0,0,0,kg N ha-1,,,4,4,Table 1,,,5506,1502,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,,,60,60,60,kg N ha-1,,,4,4,Table 1,,,7272,1461,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,,,120,120,120,kg N ha-1,,,4,4,Table 1,,,8254,1377,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,,,120,120,120,kg N ha-1,,,4,4,Table 1,,,8026,44382,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1985,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,,,,,,kg N ha-1,,,,,Table 1,,4045,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,0,,,,,kg N ha-1,4,,,,Table 1,10995,,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,60,,,,,kg N ha-1,4,,,,Table 1,14684,,,,kg ha-1,,,
036_Marthin_et_al_1990_Intercropping_corn_and_soybean_,36,36,direct_llm,Marthin et al 1990 Intercropping corn and soybean for silage in a cool temperate region,1986,,Randomized Complete Block Design (RCBD),,,,,,45,,North America,Zea mays L.,Glycine max,cereal,legume,1,1,,,,,,,120,,,,,kg N ha-1,4,,,,Table 1,14166,,,,kg ha-1,,,
