paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),0.54,,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),0.5,,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,4,2,8,4,,50,50,50,50,100,mg kg-1,4,4,4,4,Table 1 (glasshouse),,,0.74,1.63,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,4,2,8,4,,50,50,50,50,100,mg kg-1,4,4,4,4,Table 1 (glasshouse),,,0.72,0.89,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Lentil,cereal,legume,0,0,Mixed,4,2,8,4,,50,50,50,50,100,mg kg-1,4,4,4,4,Table 1 (glasshouse),,,0.78,0.44,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Lentil,cereal,legume,0,0,Mixed,4,2,8,4,,50,50,50,50,100,mg kg-1,4,4,4,4,Table 1 (glasshouse),,,0.66,0.32,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),,1.38,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),,1.14,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Lentil,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),,0.73,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Completely Randomized Design (CRD),,,,,,,,Asia,Wheat,Lentil,cereal,legume,0,0,Mixed,,,8,4,,50,50,,,,mg kg-1,4,4,,,Table 1 (glasshouse),,0.32,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,Oct 2004 – Jul 2005,Split‑plot RCBD,Oct 2004,19 Mar 2005,24 Jul 2005,24 Jul 2005,,,,Asia,Wheat,Chickpea,cereal,legume,0,0,Strip,,,,,,1.2,1.2,,,,kg ha-1,6,6,,,Table 4 (field),3096,,,,kg ha-1,,,
