paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,0,,,,,kg N ha−1,4,4,4,4,Table 1,9783,,,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,0,,,,,kg N ha−1,4,4,4,4,Table 1,,,10036,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,0,,,,,kg N ha−1,4,4,4,4,Table 1,10860,,,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,0,,,,,kg N ha−1,4,4,4,4,Table 1,,,9223,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,25,,,,,kg N ha−1,4,4,4,4,Table 1,12529,,,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,25,,,,,kg N ha−1,4,4,4,4,Table 1,,,10385,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,25,,,,,kg N ha−1,4,4,4,4,Table 1,11526,,,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,25,,,,,kg N ha−1,4,4,4,4,Table 1,,,8389,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,50,,,,,kg N ha−1,4,4,4,4,Table 1,15802,,,,kg ha−1,,,
040_Ofori_et_al_1988_Maize_cowpea_intercrop_system_eff,40,40,static_workflow,"Ofori et al 1988 Maize-cowpea intercrop system, effect of nitrogen fertilizer on productivity and efficiency",1982/1983,,split plot with four replicates,9 December 1982,,,,,-32.85,115.92,Oceania,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,50,,,,,kg N ha−1,4,4,4,4,Table 1,,,12279,,kg ha−1,,,
