paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.35,1.06,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.49,1.04,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,,0.34,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.2,1.21,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.24,1.21,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,,0.63,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.07,1.31,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.08,1.31,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,,1.31,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.15,0.57,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.19,0.57,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.04,0.56,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.18,0.74,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.12,0.74,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.03,0.66,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.12,0.81,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.1,0.81,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,Row,,,,,,,45,,,45,kg ha−1,3,3,3,3,Table 1,,,0.01,0.84,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,,,,,,,,45,,,45,kg ha−1,3,3,,,Table 1,0.6,,,,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,,,,,,,,45,,,45,kg ha−1,3,3,,,Table 1,0.93,,,,t/ha,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,direct_llm,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split-split plot,,,,,,13.25,2.3,Africa,Cowpea,Pearl millet,legume,cereal,1,0,,,,,,,,45,,,45,kg ha−1,3,3,,,Table 1,,,,,t/ha,,,
