paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split‑split plot,20 June 1985,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,,1.06,0.35,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split‑split plot,20 June 1985,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,0.2,1.26,0.2,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split‑split plot,20 June 1985,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,0.07,1.32,0.07,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split‑split plot,20 June 1985,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,1.38,,1.38,,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,split‑split plot,20 June 1985,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,,0.05,0.08,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split‑split plot,17 June 1986,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,0.15,0.98,0.15,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split‑split plot,17 June 1986,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,0.18,0.61,0.18,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split‑split plot,17 June 1986,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,0.4,0.84,0.4,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1986,,split‑split plot,17 June 1986,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,3,3,3,3,Table 1,,,0.07,0.06,t ha⁻¹,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,mas,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",1985,,randomized complete blocks,,,,,,13°15′N,2°18′E,Africa,pearl millet,cowpea,cereal,legume,0,1,,,,,,,,,,,,,4,4,4,4,Table 2,,,1.35,0.21,t ha⁻¹,,,
