paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,simultaneous,,65 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.35,1.06,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,6 days after millet,,65 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.2,1.26,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,25 days after millet,,65 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.07,1.32,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,simultaneous,,70 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.49,1.04,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,6 days after millet,,70 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.24,1.21,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,25 days after millet,,70 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,0.08,1.31,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,simultaneous,,,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,,0.34,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,6 days after millet,,,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,,0.63,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,25 days after millet,,,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,,,,1.31,,,,
042_Ntare_1990_Intercropping_morphologically_different,42,42,static_workflow,"Ntare 1990 Intercropping morphologically different cowpeas with pearl-,illite",,,split‑split plot design,,,65 DAP,,,13.25,2.3,Africa,Cowpea,Millet,legume,cereal,0,0,,,,,,,,,,,,,3,,3,3,Table 1,0.6,,,,,,,
