paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,0,0,0,0,0,kg N ha−1,3,3,3,3,Table 1,,,1.00,0.80,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,30,0,30,0,30,kg N ha−1,3,3,3,3,Table 1,,,2.22,0.76,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,60,0,60,0,60,kg N ha−1,3,3,3,3,Table 1,,,2.81,0.59,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,90,0,90,0,90,kg N ha−1,3,3,3,3,Table 1,,,3.44,0.57,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,0,0,0,0,0,kg N ha−1,3,3,3,3,Table 1,,,0.89,0.78,t/ha,,,1.29
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,30,0,30,0,30,kg N ha−1,3,3,3,3,Table 1,,,1.71,0.70,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,60,0,60,0,60,kg N ha−1,3,3,3,3,Table 1,,,2.60,0.50,t/ha,,,1.24
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,90,0,90,0,90,kg N ha−1,3,3,3,3,Table 1,,,4.04,0.51,t/ha,,,1.10
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,0,0,,,,kg N ha−1,3,3,,,Table 1,1.40,,,,t/ha,,,
043_Chowdhury_et_al_1994_Comparison_of_nitrogen_phosph,43,43,mas,"Chowdhury et al 1994 Comparison of nitrogen, phosphorus and potassium utilization",1988,,randomized complete block design,10 February 1988,,,,,14.11,121.15,Asia,Zea mays,Vigna radiata,cereal,legume,false,false,Row,50×10^3,100×10^3,,,,30,0,,,,kg N ha−1,3,3,,,Table 1,2.46,,,,t/ha,,,
