paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,Barley (Hordeum vulgare),George black medic (Medicago lupulina),cereal,legume,0,1,Mixed,,,,,,0,,0,0,0,kg N ha-1,4,,4,4,"Figure 1, Figure 2, Figure 3, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,Barley (Hordeum vulgare),Mogul barrel medic (Medicago truncatula),cereal,legume,0,1,Mixed,,,,,,0,,0,0,0,kg N ha-1,4,,4,4,"Figure 1, Figure 2, Figure 3, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,Barley (Hordeum vulgare),Santiago burr medic (Medicago polymorpha),cereal,legume,0,1,Mixed,,,,,,0,,0,0,0,kg N ha-1,4,,4,4,"Figure 1, Figure 2, Figure 3, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,Barley (Hordeum vulgare),,cereal,,0,,,,,,,,0,,,,,kg N ha-1,4,,,,"Figure 1, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,Barley (Hordeum vulgare),,cereal,,0,,,,,,,,67,,,,,kg N ha-1,4,,,,"Figure 1, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,,George black medic (Medicago lupulina),,legume,,1,,,,,,,,0,,,,kg N ha-1,,4,,,"Figure 2, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,,Mogul barrel medic (Medicago truncatula),,legume,,1,,,,,,,,0,,,,kg N ha-1,,4,,,"Figure 2, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,99 days,Randomized complete block design (RCBD) replicated four times,22 Apr 1993,22 Apr 1993,30 Jul 1993,,,,,North America,,Santiago burr medic (Medicago polymorpha),,legume,,1,,,,,,,,0,,,,kg N ha-1,,4,,,"Figure 2, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,90 days,Randomized complete block design (RCBD) replicated four times,30 Apr 1993,30 Apr 1993,29 Jul 1993,,,,,North America,Barley (Hordeum vulgare),George black medic (Medicago lupulina),cereal,legume,0,1,Mixed,,,,,,0,,0,0,0,kg N ha-1,4,,4,4,"Figure 1, Figure 2, Figure 3, Table: Treatments and Seeding Procedures",,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,direct_llm,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,90 days,Randomized complete block design (RCBD) replicated four times,30 Apr 1993,30 Apr 1993,29 Jul 1993,,,,,North America,Barley (Hordeum vulgare),Mogul barrel medic (Medicago truncatula),cereal,legume,0,1,Mixed,,,,,,0,,0,0,0,kg N ha-1,4,,4,4,"Figure 1, Figure 2, Figure 3, Table: Treatments and Seeding Procedures",,,,,,,,
