paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Berseem clover,cereal,legume,0,1,,,,120,,,,,0,,,,4,,,,Table 2,,,3.8,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Berseem clover,cereal,legume,0,1,,,,120,,,,,50,,,,4,,,,Table 2,,,4.5,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Common vetch,cereal,legume,0,1,,,,120,,,,,0,,,,4,,,,Table 2,,,3.7,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Common vetch,cereal,legume,0,1,,,,120,,,,,50,,,,4,,,,Table 2,,,4.3,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Hairy vetch,cereal,legume,0,1,,,,120,,,,,0,,,,4,,,,Table 2,,,3.5,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,Hairy vetch,cereal,legume,0,1,,,,120,,,,,50,,,,4,,,,Table 2,,,4.2,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,120,,,0,,,,,,4,,,,Table 2,3.3,,,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1989,,randomized complete block design,December 1989,,April 1990,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,120,,,50,,,,,,4,,,,Table 2,4.2,,,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Berseem clover,cereal,legume,0,1,,,,120,,,0,,0,,,,,,,,Table 3,2.6,,4.1,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Berseem clover,cereal,legume,0,1,,,,120,,,0,,0,,,,,,,,Table 3,2.5,,4.6,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Common vetch,cereal,legume,0,1,,,,120,,,0,,0,,,,,,,,Table 3,2.4,,3.6,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Common vetch,cereal,legume,0,1,,,,120,,,0,,0,,,,,,,,Table 3,2.3,,4.0,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,120,,,0,,0,,,,,,,,Table 3,2.3,,3.9,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,120,,,0,,,,,,,,,,Table 3,2.1,,3.4,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Berseem clover,cereal,legume,0,1,,,,,,,,,,,214,kg N ha−1,,,,,Table 4,,,5.6,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,Common vetch,cereal,legume,0,1,,,,,,,,,,,263,kg N ha−1,,,,,Table 4,,,6.7,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Berseem clover,,legume,,1,,,,,,,,,,,,566,kg N ha−1,,,,,Table 4,,14.9,,,t/ha,,,1.0
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Common vetch,,legume,,1,,,,,,,,,,,,643,kg N ha−1,,,,,Table 4,,18.7,,,t/ha,,,1.0
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,,,,,,,,69,kg N ha−1,,,,,Table 4,6.1,,,,t/ha,,,1.0
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1990,,randomized complete block design,,,,,,27.3333,-109.9,North America,Wheat,,cereal,,0,,,,,,,,,,,,59,kg N ha−1,,,,,Table 4,5.4,,,,t/ha,,,1.0
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1991,,randomized complete block design,,,,,,27.3333,-109.9,North America,Barley,,cereal,,0,,,,,,,,,,,,,,,,,,Table 5,2.6,,,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1991,,randomized complete block design,,,,,,27.3333,-109.9,North America,Barley,,cereal,,0,,,,,,,,,,,,,,,,,,Table 5,3.1,,,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1991,,randomized complete block design,,,,,,27.3333,-109.9,North America,Barley,Faba bean,cereal,legume,0,1,,,,,,,,,,,,,,,,,Table 5,,,3.0,,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1991,,randomized complete block design,,,,,,27.3333,-109.9,North America,Barley,Faba bean,cereal,legume,0,1,,,,,,,,,,,,,,,,,Table 5,,,,1.4,t/ha,,,
047_Reynolds_et_al_1994_Intercropping_wheat_and_barley,47,47,static_workflow,Reynolds et al 1994 Intercropping wheat and barley with N fixing legume species,1991,,randomized complete block design,,,,,,27.3333,-109.9,North America,Barley,Faba bean,cereal,legume,0,1,,,,,,,,,,,,,,,,,Table 5,4.5,,,,t/ha,,,
