paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,5405,,,,kg ha-1,,,
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,,1542,,,kg ha-1,,,
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,,,5441,,kg ha-1,1.03,,1.67
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,,,,1022,kg ha-1,,1.01,1.67
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,25,25,25,25,,kg N ha-1,3,3,3,3,Table 1,6826,,,,kg ha-1,,,
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,25,25,25,25,,kg N ha-1,3,3,3,3,Table 1,,1779,,,kg ha-1,,,
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,25,25,25,25,,kg N ha-1,3,3,3,3,Table 1,,,5787,,kg ha-1,0.83,,1.44
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1982/83,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,25,25,25,25,,kg N ha-1,3,3,3,3,Table 1,,,,1055,kg ha-1,,0.5,1.44
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1983/84,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,4889,,,,kg ha-1,,,
048_Ofori_et_al_1987_Evaluation_of_N_fixation_and_nitr,48,48,direct_llm,Ofori et al 1987 Evaluation of N fixation and nitrogen economy of a maize-cowpea intercrop system using N,1983/84,150 days,Randomized Complete Block Design (RCBD),,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,60000,150000,60000,150000,,0,0,0,0,,kg N ha-1,3,3,3,3,Table 1,,1757,,,kg ha-1,,,
