paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,,18 Apr 1983,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,80,0,,,,kg N ha−1,4,4,,,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,,19 Dec 1982,,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,80,0,,,,kg N ha−1,4,4,,,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,28 Nov 1982,19 Dec 1982,27 Mar 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,9 Dec 1982,19 Dec 1982,8 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,9 Dec 1982,18 Apr 1983,8 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,28 Nov 1982,18 Apr 1983,27 Mar 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,,18 Apr 1983,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,80,0,,,,kg N ha−1,4,4,,,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,,19 Dec 1982,,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,50000,100000,,80,0,,,,kg N ha−1,4,4,,,Table 1; Table 2; Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35000,70000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,70000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70000,70000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70000,100000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982–1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,18 Apr 1983,18 Apr 1983,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70000,140000,,,,,,80,0,80,kg N ha−1,,,4,4,Table 3; Table 4,,,,,,,,
