paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,"Randomised block design, 3 replications",27 June 1985,27 June 1985,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,1.23,,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,"Randomised block design, 3 replications",27 June 1985,27 June 1985,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,0.93,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,"Randomised block design, 3 replications",27 June 1985,27 June 1985,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,1.48,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,"Randomised block design, 3 replications",27 June 1985,27 June 1985,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,,,1.57,t/ha,0.85,0.82,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,"Randomised block design, 3 replications",27 June 1985,27 June 1985,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,,,1.67,t/ha,0.92,1.36,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,"Randomised block design, 3 replications",8 July 1986,8 July 1986,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,1.81,,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,"Randomised block design, 3 replications",8 July 1986,8 July 1986,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,0.16,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,"Randomised block design, 3 replications",8 July 1986,8 July 1986,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,0.21,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,"Randomised block design, 3 replications",8 July 1986,8 July 1986,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,,,0.88,t/ha,1.04,0.05,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,"Randomised block design, 3 replications",8 July 1986,8 July 1986,,,,18,78,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,222,33,222,33,,80,16,20,16,36,kg ha-1,3,3,3,3,Table 4,,,,1.39,t/ha,0.8,0.2,
