paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,161.7,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,268.0,66.0,kg/ha,,,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,161.7,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,373.5,290.0,kg/ha,,,0.96
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,150.0,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,225.0,71.3,kg/ha,,,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,150.0,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,319.5,944.0,kg/ha,,,1.06
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,126.7,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,200.0,76.7,kg/ha,,,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,126.7,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,91.0,201.0,1800.0,kg/ha,,,0.88
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,233.3,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 3",835.0,,,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Wheat (Triticum aestivum),legume,cereal,0,0,,233.3,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 3",570.0,,,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,,180.0,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,67.0,268.0,65.0,kg/ha,,,0.83
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,direct_llm,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,26 July 2000,,38.4167,43.0333,Asia,Lentil (Lens culinaris),Barley (Hordeum vulgare),legume,cereal,0,0,,180.0,,233.3,,,25,25,25,25,25,kg/ha N,3,3,3,3,"Table 1, Table 2, Table 3",,67.0,373.5,,kg/ha,,,0.83
