paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,2,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,497.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,2,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,1209.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,161.7,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,268.0,850.5,kg/ha,,,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,161.7,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,540.0,,kg/ha,,,0.58
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,150.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,225.0,,kg/ha,,,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,150.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,5855.0,706.0,kg/ha,,,0.7
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,126.7,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,200.0,688.0,kg/ha,,,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Triticum aestivum,legume,cereal,0,0,Row,126.7,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,201.0,7.0,kg/ha,,,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,2,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,1497.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,2,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,1209.0,,kg/ha,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,180.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,42.0,51.0,kg/ha,,,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,180.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,282.0,,kg/ha,,,0.71
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,160.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,170.0,472.0,kg/ha,,,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,11 October,,1 July,,,8.25,4.02,,Lens culinaris Medikus,Hordeum vulgare,legume,cereal,0,0,Row,160.0,,,,,25,25,25,25,25,kg / haN,3,3,3,3,"Table 1, Table 2, Table 3",85.0,570.0,27.0,468.0,kg/ha,,,0.79
