paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July 1999,21 July 1999,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,233.3,,,,,25,,,,,kg/ha,3,,,,Table 1,,,1,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,,11 October,13 July 2000,26 July 2000,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,241.9,,,,,25,,,,,kg/ha,3,,,,Table 1,,,779,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July 1999,21 July 1999,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,161.7,,,,,25,,,,,kg/ha,3,,,,Table 1,,,1,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,,11 October,13 July 2000,26 July 2000,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,174.3,,,,,25,,,,,kg/ha,3,,,,Table 1,,,234.0,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July 1999,21 July 1999,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,150.0,,,,,25,,,,,kg/ha,3,,,,Table 1,,,1,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,,11 October,13 July 2000,26 July 2000,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,164.7,,,,,25,,,,,kg/ha,3,,,,Table 1,,,225.0,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,randomized complete block,10 October,,10 July 1999,21 July 1999,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,126.7,,,,,25,,,,,kg/ha,3,,,,Table 1,,,200.0,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,randomized complete block,,11 October,13 July 2000,26 July 2000,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,132.9,,,,,25,,,,,kg/ha,3,,,,Table 1,,,201.0,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,,,randomized complete block,,,,,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,139.0,,,,,25,,,,,kg/ha,3,,,,Table 2,,,,936,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,,,randomized complete block,,,,,,38,43,Asia,Lentil,Wheat,legume,cereal,0,0,,161.7,,,,,25,,,,,kg/ha,3,,,,Table 2,,,,1427,kg/ha,,,
