paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,,55000,240000,,0,0,0,0,0,kg ha-1,4,4,4,4,Table 1,889,2251,,,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,,55000,240000,,50,0,50,0,50,kg ha-1,4,4,4,4,Table 1,1015,,,,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,,55000,240000,,100,0,100,0,100,kg ha-1,4,4,4,4,Table 1,1043,,,,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,0,0,0,0,0,kg ha-1,4,4,4,4,Table 1,,,661,686,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,50,0,50,0,50,kg ha-1,4,4,4,4,Table 1,,,1086,622,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,60000,55000,240000,,100,0,100,0,100,kg ha-1,4,4,4,4,Table 1,,,955,670,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,0,0,0,0,0,kg ha-1,4,4,4,4,Table 1,,,876,975,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,50,0,50,0,50,kg ha-1,4,4,4,4,Table 1,,,1122,950,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,120000,55000,240000,,100,0,100,0,100,kg ha-1,4,4,4,4,Table 1,,,844,969,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,0,0,0,0,0,kg ha-1,4,4,4,4,Table 1,,,523,1212,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,50,0,50,0,50,kg ha-1,4,4,4,4,Table 1,,,860,1401,kg ha-1,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,direct_llm,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,138 days,Split-plot design,25 May,25 May,,,,,,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,55000,180000,55000,240000,,100,0,100,0,100,kg ha-1,4,4,4,4,Table 1,,,740,1594,kg ha-1,,,1.51
