paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley pure stand",2.49,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley pure stand",1.89,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley pure stand",3.04,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley pure stand",1.77,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley pure stand",3.39,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley pure stand",0.94,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley pure stand",3.98,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley pure stand",2.83,,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Peas pure stand",,1.3,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Peas pure stand",,0.96,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Peas pure stand",,1.76,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Peas pure stand",,1.39,,,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley + peas (100:40)",,,2.06,0.37,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley + peas (100:40)",,,1.94,0.2,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley + peas (100:40)",,,3.01,0.45,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley + peas (100:40)",,,1.55,0.86,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley + peas (100:20)",,,2.69,0.34,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Bonus barley + peas (100:20)",,,2.48,0.28,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley + peas (100:20)",,,3.01,0.41,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Bonus barley + peas (100:20)",,,1.98,0.91,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley + peas (100:40)",,,2.97,0.36,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley + peas (100:40)",,,0.52,0.7,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley + peas (100:40)",,,3.21,0.37,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley + peas (100:40)",,,2.37,0.9,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley + peas (100:20)",,,2.35,0.29,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lopre, Local barley + peas (100:20)",,,0.7,0.47,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1992-1993,,Randomized Complete Block Design (RCBD),15 Oct 1992,15 Oct 1992,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley + peas (100:20)",,,3.39,0.27,t/ha,,,
068_Subedi_1998_Profitability_of_barley_and_peas_mixed,68,68,direct_llm,24. Subedi 1998 Profitability of barley and peas mixed intercropping in the subsistence farming systems,1993-1994,,Randomized Complete Block Design (RCBD),14 Oct 1993,14 Oct 1993,,,,,,Asia,Barley,Peas,cereal,legume,0,0,Mixed,,,,,,,,,,,,3,3,3,3,"Table 3, Lumle, Local barley + peas (100:20)",,,2.59,0.43,t/ha,,,
