paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Triticum aestivum,,cereal,,0,,,,,300,,,112,,,,,kg N ha-1,4,,,,Table 1,4434,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Triticum aestivum,,cereal,,0,,,,,300,,,0,,,,,kg N ha-1,4,,,,Table 1,2571,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,52.8667,-112.9333,North America,Triticum aestivum,,cereal,,0,,,,,300,,,0,,,,,kg N ha-1,4,,,,Table 1,2065,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Hordeum vulgare,,cereal,,0,,,,,300,,,112,,,,,kg N ha-1,4,,,,Table 1,4814,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Hordeum vulgare,,cereal,,0,,,,,300,,,0,,,,,kg N ha-1,4,,,,Table 1,2874,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,52.8667,-112.9333,North America,Hordeum vulgare,,cereal,,0,,,,,300,,,0,,,,,kg N ha-1,4,,,,Table 1,2661,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Brassica napus,,oilseed,,0,,,,,90,,,112,,,,,kg N ha-1,4,,,,Table 1,1541,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Brassica napus,,oilseed,,0,,,,,90,,,0,,,,,kg N ha-1,4,,,,Table 1,239,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,52.8667,-112.9333,North America,Brassica napus,,oilseed,,0,,,,,90,,,0,,,,,kg N ha-1,4,,,,Table 1,206,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Pisum sativum,,legume,,0,,,,,75,,,112,,,,,kg N ha-1,4,,,,Table 1,3397,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Pisum sativum,,legume,,0,,,,,75,,,0,,,,,kg N ha-1,4,,,,Table 1,162,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,52.8667,-112.9333,North America,Pisum sativum,,legume,,0,,,,,75,,,0,,,,,kg N ha-1,4,,,,Table 1,109,,,,kg ha-1,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,direct_llm,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006-2007,,"RCBD, proportional replacement design",,,,,,55.5667,-113.5167,North America,Triticum aestivum,Hordeum vulgare,cereal,cereal,0,0,Row,150,150,300,300,,112,112,,,,kg N ha-1,4,4,4,4,Table 2,,,968,4194,kg ha-1,,,1.15
