paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Wheat,,cereal,,0,,,,,300,,,112,4,,,,kg ha⁻¹,4,4,,,Table 1,4434,,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Barley,,cereal,,0,,,,,,300,,,4,,,,kg ha⁻¹,4,4,,,Table 1,,4814,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Canola,,oilseed,,0,,,,,,90,,,4,,,,kg ha⁻¹,4,4,,,Table 1,,1541,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Pea,,legume,,0,,,,,,75,,,4,,,,kg ha⁻¹,4,4,,,Table 1,,3397,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,52.8667,-112.9333,North America,Wheat,,cereal,,0,,,,,300,,,,,,,,kg ha⁻¹,4,4,,,Table 1,2065,,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,52.8667,-112.9333,North America,Barley,,cereal,,0,,,,,,300,,,,,,,kg ha⁻¹,4,4,,,Table 1,,2661,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,52.8667,-112.9333,North America,Canola,,oilseed,,0,,,,,,90,,,,,,,kg ha⁻¹,4,4,,,Table 1,,206,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,52.8667,-112.9333,North America,Pea,,legume,,0,,,,,,75,,,,,,,kg ha⁻¹,4,4,,,Table 1,,109,,,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Wheat,Barley,cereal,cereal,0,0,Row,150,150,,,,,,,,,kg ha⁻¹,,,4,4,Table 2,,,968,4194,kg ha⁻¹,,,
071_Nelson_et_al_2012_Yield_and_weed_suppression_of_cr,71,71,static_workflow,29. Nelson et al 2012 Yield and weed suppression of crop mixtures in organic,2006–2007,,replacement design (proportional) in a completely randomized block design,,,,,,55.5667,-113.5167,North America,Wheat,Canola,cereal,oilseed,0,0,Row,150,45,,,,,,,,,kg ha⁻¹,,,4,4,Table 2,,,4990,59,kg ha⁻¹,,,
