paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983,,Randomized Complete Block Design (RCBD),1 Dec 1982,,27 Apr 1983,,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,,,,7.2,,,60,,,,,kg N ha-1,4,,,,Table 2,20.5,,,,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983,,Randomized Complete Block Design (RCBD),1 Dec 1982,1 Dec 1982,27 Apr 1983,27 Apr 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Mixed,7.8,3.3,,,,,,,,60,kg N ha-1,,,4,4,Table 2,,,19.1,0.9,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983,,Randomized Complete Block Design (RCBD),1 Dec 1982,1 Dec 1982,27 Apr 1983,27 Apr 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Mixed,4.5,4.2,,,,,,,,60,kg N ha-1,,,4,4,Table 2,,,15.4,2.5,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1983,,Randomized Complete Block Design (RCBD),1 Dec 1982,1 Dec 1982,27 Apr 1983,27 Apr 1983,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,Mixed,3.5,6.0,,,,,,,,60,kg N ha-1,,,4,4,Table 2,,,13.9,3.0,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984,,Randomized Complete Block Design (RCBD),14 Dec 1983,,13 Apr 1984,,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,,,,7.0,,,60,,,,,kg N ha-1,4,,,,Table 3,17.9,,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984,,Randomized Complete Block Design (RCBD),14 Dec 1983,14 Dec 1983,13 Apr 1984,13 Apr 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Mixed,5.0,12.0,,,,,,,,60,kg N ha-1,,,4,4,Table 3,,,15.2,1.2,t/ha,0.85,0.16,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984,,Randomized Complete Block Design (RCBD),14 Dec 1983,14 Dec 1983,13 Apr 1984,13 Apr 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,4.7,6.7,,,,,,,,60,kg N ha-1,,,4,4,Table 3,,,12.0,1.7,t/ha,0.67,0.23,0.67
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984,,Randomized Complete Block Design (RCBD),14 Dec 1983,14 Dec 1983,13 Apr 1984,13 Apr 1984,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,Row,3.5,10.0,,,,,,,,60,kg N ha-1,,,4,4,Table 3,,,10.9,2.5,t/ha,0.61,0.35,0.61
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1984,,Randomized Complete Block Design (RCBD),,,,,,-36,145,Australia,Zea mays,Glycine max,cereal,legume,1,1,,,,,20,,,60,,,,kg N ha-1,,4,,,Table 3,,7.3,,,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,direct_llm,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1985,,Randomized Complete Block Design (RCBD),20 Nov 1984,,25 Mar 1985,,,-36,145,Australia,Zea mays,Lablab purpureus,cereal,legume,1,1,,,,7.2,,,60,,,,,kg N ha-1,3,,,,Table 4,17.1,,,,t/ha,,,1.0
