paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,,,7.2,,,60,,,,200,kg N ha⁻¹,,,,,Table 2,20.5,,,,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,7.8,0.9,,,,60,,,,200,kg N ha⁻¹,,,,,Table 2,,,19.1,119,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,4.5,4.2,,,,60,,,,200,kg N ha⁻¹,,,,,Table 2,,,15.4,2.5,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,3.5,6.0,,,,60,,,,200,kg N ha⁻¹,,,,,Table 2,,,13.9,3.0,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,,,7.0,,,,,,,,,,,,,Table 3,17.9,,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Soybean,cereal,legume,0,0,,5.0,12.0,,,,,,,,,,,,,,Table 3,,,15.2,1.2,t/ha,,,1.01
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,,,,,,,,,,,,,,,,Table 3,,,12.0,,t/ha,,,0.67
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Soybean,,legume,,0,,,,,,,,,,,,,,,,,,Table 3,,,,1.7,t/ha,,,0.23
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,,,,,,,,,,,,,,,,Table 3,,,10.9,,t/ha,,,0.61
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Soybean,,legume,,0,,,,,,,,,,,,,,,,,,Table 3,,,,2.5,t/ha,,,0.35
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,,Soybean,,legume,,0,,,,,20,,,,,,,,,,,,Table 3,,7.3,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,,,7.2,,,,,,,,,,,,,Table 4,17.1,,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,4.8,,,,,,,,,,,,,,,Table 4,,,13.0,,t/ha,,,0.76
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Soybean,,legume,,0,,,,6.7,,,,,,,,,,,,,,Table 4,,,,2.1,t/ha,,,0.24
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,3.6,,,,,,,,,,,,,,,Table 4,,,10.8,,t/ha,,,0.63
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Soybean,,legume,,0,,,,10.0,,,,,,,,,,,,,,Table 4,,,,3.9,t/ha,,,0.45
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,,cereal,,0,,,2.4,,,,,,,,,,,,,,,Table 4,,,6.4,,t/ha,,,0.37
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Soybean,,legume,,0,,,,13.5,,,,,,,,,,,,,,Table 4,,,,4.8,t/ha,,,0.56
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,,Soybean,,legume,,0,,,,,20,,,,,,,,,,,,Table 4,,8.6,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,7.2,10.0,,,,,,,,,,,,,,Table 4,,,15.8,0.8,t/ha,,,1.03
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,3.6,10.0,,,,,,,,,,,,,,Table 4,,,14.9,1.8,t/ha,,,1.09
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Maize,Lablab bean,cereal,legume,0,0,Row,2.4,10.0,,,,,,,,,,,,,,Table 4,,,15.9,1.2,t/ha,,,1.07
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,,Lablab bean,,legume,,0,,,,,20,,,,,,,,,,,,Table 4,,8.3,,,t/ha,,,1.0
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Oats,,cereal,,0,,,,,,,,,,,,,,,,,,Table 5,7.4,,,,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Oats,,cereal,,0,,,,,,,,,,,,,,,,,,Table 5,6.5,,,,t/ha,,,
073_Mason_et_al_1987_Intercropping_in_a_temperate_envi,73,73,static_workflow,31. Mason et al 1987 Intercropping in a temperate environment for irrigated fodder production,1982–1985,,randomized block design with four replicates,,,,,,36,145,Asia,Oats,Peas,cereal,legume,0,0,Row,,,,,,,,,,,,,,,,Table 5,,,5.9,0.7,t/ha,,,
