paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,,August 10,,,,,Asia,Zea mays (corn),,cereal,,0,,,,,,,,,,,,,,2,,,,"Table 2 (replicate 1), Table 3",24312,,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,,August 10,,,,,Asia,Zea mays (corn),,cereal,,0,,,,,,,,,,,,,,2,,,,"Table 2 (replicate 2), Table 3",25584,,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Secale cereale (rye),,cereal,,1,,,,,,4,,,,,,,,,2,,,"Table 2 (replicate 1), Table 3",,15686.7,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Secale cereale (rye),,cereal,,1,,,,,,4,,,,,,,,,2,,,"Table 2 (replicate 2), Table 3",,17202.2,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Medicago sativa (alfalfa),,legume,,1,,,,,,3,,,,,,,,,2,,,"Table 2 (replicate 1), Table 3",,15139.2,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Medicago sativa (alfalfa),,legume,,1,,,,,,3,,,,,,,,,2,,,"Table 2 (replicate 2), Table 3",,14544,,,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Zea mays (corn),Secale cereale (rye),cereal,cereal,0,1,,,,,,,,,,,,,,,2,2,"Table 2 (replicate 1), Table 3",,,18032.8,12480,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Zea mays (corn),Secale cereale (rye),cereal,cereal,0,1,,,,,,,,,,,,,,,2,2,"Table 2 (replicate 2), Table 3",,,17241.6,12031.1,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Zea mays (corn),Medicago sativa (alfalfa),cereal,legume,0,1,,,,,,,,,,,,,,,2,2,"Table 2 (replicate 1), Table 3",,,26004.8,12304,g/20 m²,,,
083_Lei_et_al_2005_Water_use_efficiency_of_a_mixed_cro,83,83,direct_llm,42. Lei et al 2005 Water use efficiency of a mixed cropping system of corn with grasses,2001–2002,,Randomized Complete Block Design (RCBD),May 1,May 1,August 10,August 10,,,,Asia,Zea mays (corn),Medicago sativa (alfalfa),cereal,legume,0,1,,,,,,,,,,,,,,,2,2,"Table 2 (replicate 2), Table 3",,,24883.2,13760,g/20 m²,,,
