paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,0,,,,,,3,3,3,3,Table 6,5.8,2.77,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,8.97,3.18,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,9.0,2.49,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,300,,,,,kg N ha−1,3,3,3,3,Table 6,10.77,3.04,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,0,,,,,,3,3,3,3,Table 6,,,4.37,0.5,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,,,8.0,0.55,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,,,7.63,0.98,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2000/2001,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,300,,,,,kg N ha−1,3,3,3,3,Table 6,,,6.27,0.64,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,0,,,,,,3,3,3,3,Table 6,5.8,2.77,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,8.97,3.18,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,9.0,2.49,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,300,,,,,kg N ha−1,3,3,3,3,Table 6,10.77,3.04,,,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,0,,,,,,3,3,3,3,Table 6,,,4.37,0.5,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,,,8.0,0.55,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,,,,,,,3,3,3,3,Table 6,,,7.63,0.98,t/ha,,,
087_Silwana_et_al_2007_The_effects_of_inorganic_and_or,87,87,mas,47. Silwana et al 2007 The effects of inorganic and organic fertilizers on the growth and development of component crops,2001/2002,,Randomized Complete Block Design (RCBD),,,,,,-35.0,28.0,Africa,Maize,Phaseolus bean,cereal,legume,false,false,Row,,,40000,175439,,300,,,,,kg N ha−1,3,3,3,3,Table 6,,,6.27,0.64,t/ha,,,
