paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,,,100,0,,,,,,,,3,3,3,3,Table 1,27.76,,,,tonnes/ha,,,1.0
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,,,0,100,,,,,,,,3,3,3,3,Table 1,,14.44,,,tonnes/ha,,,1.0
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,33,67,,,,,,,,,,3,3,3,3,Table 1,,,10.43,10.69,tonnes/ha,,,1.7162
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,50,50,,,,,,,,,,3,3,3,3,Table 1,,,15.56,8.86,tonnes/ha,,,2.0223
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,67,33,,,,,,,,,,3,3,3,3,Table 1,,,20.24,6.33,tonnes/ha,,,2.0988
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,100,33,,,,,,,,,,3,3,3,3,Table 1,,,24.47,6.19,tonnes/ha,,,1.3102
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,67,67,,,,,,,,,,3,3,3,3,Table 1,,,18.75,7.44,tonnes/ha,,,1.1907
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,100,67,,,,,,,,,,3,3,3,3,Table 1,,,23.32,7.69,tonnes/ha,,,1.3726
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,100,100,,,,,,,,,,3,3,3,3,Table 1,,,22.57,9.89,tonnes/ha,,,1.4975
089_Sslal_et_al_2005_Production_potential_and_competit,89,89,static_workflow,49. Sslal et al 2005 Production potential and competition indices in potato and french bean intercropping system,2001-2002,,randomized block design,middle of April,middle of April,first‑week of September,July,,,,,Kufri Jyoti potato,Contender French bean,root crop,legume,0,0,,33,100,,,,,,,,,,3,3,3,3,Table 1,,,10.44,11.89,tonnes/ha,,,1.1993
