paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63.0,275.0,,0,0,0,0,0,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",456.0,412.0,139.0,340.0,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63.0,275.0,,5,5,5,5,5,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",357.0,550.0,81.15,459.85,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65.0,381.0,,0,0,0,0,0,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",437.0,355.0,234.14,274.86,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65.0,381.0,,5,5,5,5,5,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",456.0,467.0,77.85,441.15,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88.0,299.0,,0,0,0,0,0,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",714.0,473.0,309.26,348.74,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88.0,299.0,,5,5,5,5,5,g N m-2,3.0,3.0,3.0,3.0,"Table 3, Table 2",767.0,615.0,199.5,465.5,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,88.0,356.0,,0,0,0,0,0,g N m-2,4.0,4.0,4.0,4.0,"Table 3, Table 2",659.0,332.0,376.0,185.0,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split-plot design,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,88.0,356.0,,5,5,5,5,5,g N m-2,4.0,4.0,4.0,4.0,"Table 3, Table 2",661.0,579.0,206.38,400.62,g DM m-2,,,1.0
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April 1998,,20 August 1998,,,55.0833,12.1667,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,,,70.0,300.0,,,,,,,kg N ha‑1,8.0,8.0,,,Table 2,2630.0,,,,kg DM ha‑1,,,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April 1998,,20 August 1998,,,55.0833,12.1667,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,,,70.0,300.0,,,,,,,kg N ha‑1,8.0,8.0,,,Table 2,,3927.0,,,kg DM ha‑1,,,
