paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,direct_llm,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,,Complete one-factorial randomised design,23 April 1998,23 April 1998,,,,55.41,12.05,Europe,Field pea,Spring barley,legume,cereal,0,0,Mixed,,,70.0,300.0,,,,,,,,8,8,8,8,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha⁻¹,,,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,direct_llm,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,,Complete one-factorial randomised design,23 April 1998,23 April 1998,,,,55.41,12.05,Europe,Field pea,Spring barley,legume,cereal,0,0,Mixed,,,70.0,300.0,,,,,,,,8,8,8,8,Table 2,104.0,49.0,25.0,54.0,kg N ha⁻¹,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,direct_llm,Li et al 2006 Root distribution and interactions between intercropped species,1998,,Single factor field experiment with three replicates,27 March,15 April,20 July,26 September,,38.37,102.4,Asia,Wheat,Maize,cereal,cereal,0,0,Row,,,,,,300.0,300.0,150.0,150.0,300.0,kg N ha⁻¹,3,3,3,3,Table 2,4815.0,13310.0,7128.0,15430.0,kg ha⁻¹,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,direct_llm,Li et al 2006 Root distribution and interactions between intercropped species,1998,,Single factor field experiment with three replicates,27 March,15 April,1 August,26 September,,38.37,102.4,Asia,Faba bean,Maize,legume,cereal,0,0,Row,,,,,,300.0,300.0,150.0,150.0,300.0,kg N ha⁻¹,3,3,3,3,Table 2,6945.0,13310.0,7238.0,16410.0,kg ha⁻¹,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,120 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.52,70.36,Asia,Groundnut (Arachis hypogaea),Maize (Zea mays),legume,cereal,0,1,Row,,,300000.0,50000.0,,125.0,60.0,60.0,60.0,120.0,kg N ha⁻¹,4,4,4,4,"Table 1, Table 2, Table 3",2.43,10.25,2.29,9.0,t ha⁻¹,,,1.68
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,120 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.52,70.36,Asia,Groundnut (Arachis hypogaea),Sorghum (Sorghum bicolor),legume,cereal,0,1,Row,,,300000.0,50000.0,,125.0,60.0,60.0,60.0,120.0,kg N ha⁻¹,4,4,4,4,"Table 1, Table 2, Table 3",2.43,9.1,2.2,7.98,t ha⁻¹,,,1.34
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,120 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.52,70.36,Asia,Groundnut (Arachis hypogaea),Pearl millet (Pennisetum glaucum),legume,cereal,0,1,Row,,,300000.0,50000.0,,125.0,60.0,60.0,60.0,120.0,kg N ha⁻¹,4,4,4,4,"Table 1, Table 2, Table 3",2.43,12.6,2.19,11.81,t ha⁻¹,,,1.49
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,120 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.52,70.36,Asia,Groundnut (Arachis hypogaea),Sorghum (Sorghum bicolor),legume,cereal,0,1,Row,,,300000.0,50000.0,,125.0,60.0,60.0,60.0,120.0,kg N ha⁻¹,4,4,4,4,"Table 1, Table 2, Table 3",2.43,14.96,2.04,10.8,t ha⁻¹,,,1.43
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,direct_llm,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",1997–1998,120 days,Completely randomized block design,First week of February,First week of February,105 days after sowing,"50 days after sowing (first cut), 95 days after sowing (second cut)",,21.52,70.36,Asia,Groundnut (Arachis hypogaea),Pearl millet (Pennisetum glaucum),legume,cereal,0,1,Row,,,300000.0,50000.0,,125.0,60.0,60.0,60.0,120.0,kg N ha⁻¹,4,4,4,4,"Table 1, Table 2, Table 3",2.43,17.72,2.01,16.5,t ha⁻¹,,,1.54
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,direct_llm,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,Completely randomized block design,Last week of November,Last week of November,Mid May,Mid May,,40.32932,22.59671,Europe,Common vetch,Wheat,legume,cereal,1,1,Mixed,,,314.0,448.0,,80.0,80.0,,,,kg N ha⁻¹,4,4,4,4,Table 1,20.49,30.49,13.29,12.28,Mg ha⁻¹,,,
