paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_Li_1999_Interspecific_complementary_and_competitiv,5,5,mas,Li 1999 Interspecific complementary and competitive interactions between intercropped maize and faba bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,mas,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,mas,Li et al 2006 Root distribution and interactions between intercropped species,1998.0,,Single factor field experiment with three replicates,27 March,15 April,20 July,26 September,,38.37,102.4,Asia,Wheat (Triticum aestivum L.),Maize (Zea mays L.),cereal,cereal,0.0,0.0,Strip,,,,,,300.0,300.0,150.0,150.0,300.0,kg N ha⁻¹,3.0,3.0,3.0,3.0,Table 2,4815.0,13310.0,7128.0,15430.0,kg ha⁻¹,,,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,8,mas,Li et al 2006 Root distribution and interactions between intercropped species,1998.0,,Single factor field experiment with three replicates,27 March,15 April,1 August,26 September,,38.37,102.4,Asia,Faba bean (Vicia faba L.),Maize (Zea mays L.),legume,cereal,0.0,0.0,Strip,,,,,,300.0,300.0,100.0,200.0,300.0,kg N ha⁻¹,3.0,3.0,3.0,3.0,Table 2,6945.0,13310.0,7238.0,16410.0,kg ha⁻¹,,,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,9,mas,"Ghosh 2004 Growth, yield, competition and economics of groundnut-cereal fodder intercropping systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,mas,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,11,mas,"Andersen 2004 Biomass production, symbiotic nitrogen fixation and inorganic N use",2000.0,167 days,Randomized split-plot design,27 April 2000,,14 September 2000,,,55.7333,12.3,Europe,Pea (Pisum sativum L.),Barley (Hordeum vulgare L.),legume,cereal,0.0,0.0,Mixed,40.0,170.0,80.0,350.0,,0.5,40.0,0.5,40.0,40.5,g N m⁻²,4.0,4.0,4.0,4.0,Table 2,394.0,210.0,307.0,307.0,g DM m⁻²,0.78,0.74,1.3
012_Baumann_2001_Competition_and_crop_performance_in_a,12,12,mas,Baumann 2001 Competition and crop performance in a leek celery intercropping system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,13,mas,Banik 2006 Wheat and chickpea intercropping systems in an additive series experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
