paper_id,study_id,method,status,n_records,path
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,direct_llm,skipped_gap,0,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,static_workflow,skipped_gap,0,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,static_workflow,skipped_gap,0,
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,direct_llm,skipped_gap,0,
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,static_workflow,skipped_gap,0,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,direct_llm,skipped_gap,0,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,static_workflow,skipped_gap,0,
005_Li_1999_Interspecific_complementary_and_competitiv,5,direct_llm,skipped_gap,0,
005_Li_1999_Interspecific_complementary_and_competitiv,5,static_workflow,skipped_gap,0,
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,direct_llm,error: APITimeoutError: Request timed out.,0,
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,static_workflow,error: APITimeoutError: Request timed out.,0,
006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen_,6,mas,skipped,0,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/006_Hauggaard_Nielson_2003_The_comparison_of_nitrogen___mas.csv
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,direct_llm,error: APITimeoutError: Request timed out.,0,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,static_workflow,error: APITimeoutError: Request timed out.,0,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c__mas.csv
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,direct_llm,ok,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/008_Li_et_al_2006_Root_distribution_and_interactions_b__direct_llm.csv
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,static_workflow,error: APITimeoutError: Request timed out.,0,
008_Li_et_al_2006_Root_distribution_and_interactions_b,8,mas,ok,2,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/008_Li_et_al_2006_Root_distribution_and_interactions_b__mas.csv
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,direct_llm,ok,5,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/009_Ghosh_2004_Growth_yield_competition_and_economics___direct_llm.csv
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,static_workflow,error: APITimeoutError: Request timed out.,0,
009_Ghosh_2004_Growth_yield_competition_and_economics_,9,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/009_Ghosh_2004_Growth_yield_competition_and_economics___mas.csv
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,direct_llm,ok,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/010_Dhima_2006_Competition_indices_of_common_vetch_and__direct_llm.csv
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,static_workflow,error: APITimeoutError: Request timed out.,0,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/010_Dhima_2006_Competition_indices_of_common_vetch_and__mas.csv
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,direct_llm,ok,8,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/011_Andersen_2004_Biomass_production_symbiotic_nitroge__direct_llm.csv
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,static_workflow,error: APITimeoutError: Request timed out.,0,
011_Andersen_2004_Biomass_production_symbiotic_nitroge,11,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/011_Andersen_2004_Biomass_production_symbiotic_nitroge__mas.csv
012_Baumann_2001_Competition_and_crop_performance_in_a,12,direct_llm,error: APITimeoutError: Request timed out.,0,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,static_workflow,error: APITimeoutError: Request timed out.,0,
012_Baumann_2001_Competition_and_crop_performance_in_a,12,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/012_Baumann_2001_Competition_and_crop_performance_in_a__mas.csv
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,direct_llm,error: APITimeoutError: Request timed out.,0,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,static_workflow,error: APITimeoutError: Request timed out.,0,
013_Banik_2006_Wheat_and_chickpea_intercropping_system,13,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/013_Banik_2006_Wheat_and_chickpea_intercropping_system__mas.csv
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,direct_llm,error: APITimeoutError: Request timed out.,0,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,static_workflow,error: APITimeoutError: Request timed out.,0,
014_Corre_Hellou_2006_Interspecific_competition_for_so,14,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/014_Corre_Hellou_2006_Interspecific_competition_for_so__mas.csv
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,direct_llm,ok,5,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea__direct_llm.csv
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,static_workflow,error: APITimeoutError: Request timed out.,0,
015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea,15,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/015_Chu_2004_Nitrogen_fixation_and_N_transfer_from_pea__mas.csv
016_Fan_et_al_2006_Nitrogen_fixation_of_faba_bean_inte,16,direct_llm,ok,4,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/016_Fan_et_al_2006_Nitrogen_fixation_of_faba_bean_inte__direct_llm.csv
016_Fan_et_al_2006_Nitrogen_fixation_of_faba_bean_inte,16,static_workflow,error: APITimeoutError: Request timed out.,0,
016_Fan_et_al_2006_Nitrogen_fixation_of_faba_bean_inte,16,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/016_Fan_et_al_2006_Nitrogen_fixation_of_faba_bean_inte__mas.csv
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,direct_llm,error: APITimeoutError: Request timed out.,0,
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,static_workflow,error: APITimeoutError: Request timed out.,0,
017_Agegnehu_2006_Yield_performance_and_land_use_effic,17,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/017_Agegnehu_2006_Yield_performance_and_land_use_effic__mas.csv
018_Hauggaard_Nielsen_et_al_2006_Density_and_relative_,18,direct_llm,ok,6,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/018_Hauggaard_Nielsen_et_al_2006_Density_and_relative___direct_llm.csv
018_Hauggaard_Nielsen_et_al_2006_Density_and_relative_,18,static_workflow,error: APITimeoutError: Request timed out.,0,
018_Hauggaard_Nielsen_et_al_2006_Density_and_relative_,18,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/018_Hauggaard_Nielsen_et_al_2006_Density_and_relative___mas.csv
019_Reddy_et_al_1981Growth_and_resource_use_studies_in,19,direct_llm,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/019_Reddy_et_al_1981Growth_and_resource_use_studies_in__direct_llm.csv
019_Reddy_et_al_1981Growth_and_resource_use_studies_in,19,static_workflow,error: APITimeoutError: Request timed out.,0,
019_Reddy_et_al_1981Growth_and_resource_use_studies_in,19,mas,ok,0,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/019_Reddy_et_al_1981Growth_and_resource_use_studies_in__mas.csv
020_Awal_et_al_2006_Radiation_interception_and_use_by_,20,direct_llm,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/020_Awal_et_al_2006_Radiation_interception_and_use_by___direct_llm.csv
020_Awal_et_al_2006_Radiation_interception_and_use_by_,20,static_workflow,error: APITimeoutError: Request timed out.,0,
020_Awal_et_al_2006_Radiation_interception_and_use_by_,20,mas,ok,0,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/020_Awal_et_al_2006_Radiation_interception_and_use_by___mas.csv
021_Waterer_et_al_1994_Yield_and_symbiotic_nitrogen_fi,21,direct_llm,error: APITimeoutError: Request timed out.,0,
021_Waterer_et_al_1994_Yield_and_symbiotic_nitrogen_fi,21,static_workflow,error: APITimeoutError: Request timed out.,0,
021_Waterer_et_al_1994_Yield_and_symbiotic_nitrogen_fi,21,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/021_Waterer_et_al_1994_Yield_and_symbiotic_nitrogen_fi__mas.csv
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,direct_llm,error: APITimeoutError: Request timed out.,0,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,static_workflow,error: APITimeoutError: Request timed out.,0,
022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi,22,mas,ok,1,/home/com3dian/Github/meta_analysis_agents/outputs/surf_mistralai-Mistral-Small-3-2-24B-Instruct-2506_42fields/by_paper/022_Song_et_al_2007_Effect_of_intercropping_on_crop_yi__mas.csv
