paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,0,0,,,0,g N m-2,3,3,3,3,Table 3,456,412,138.9,340.1,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,5,5,,,5,g N m-2,3,3,3,3,Table 3,357,550,81.15,459.85,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,0,0,,,0,g N m-2,3,3,3,3,Table 3,437,355,234.14,274.86,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,5,5,,,5,g N m-2,3,3,3,3,Table 3,456,467,77.85,441.15,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88,299,,0,0,,,0,g N m-2,3,3,3,3,Table 3,714,473,309.26,348.74,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88,299,,5,5,,,5,g N m-2,3,3,3,3,Table 3,767,615,199.5,465.5,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,88,356,,0,0,,,0,g N m-2,4,4,4,4,Table 3,659,332,375.87,185.13,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48,178,88,356,,5,5,,,5,g N m-2,4,4,4,4,Table 3,661,579,206.38,400.62,g DM m-2,,,1.0
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",Mean,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,,,,0,0,,,0,g N m-2,,,,,Table 3,567,393,259.44,292.56,g DM m-2,,,1.18
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",Mean,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,,,,5,5,,,5,g N m-2,,,,,Table 3,560,553,139.92,443.08,g DM m-2,,,1.05
