paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,62.5,6.25,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.41,0.35,0.76
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,125,6.25,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.73,0.36,1.06
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,187.5,6.25,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.78,0.24,1.02
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,250,6.25,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.92,0.35,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,62.5,12.5,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.32,0.54,0.86
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,125,12.5,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.53,0.55,1.08
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,187.5,12.5,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.75,0.31,1.05
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,62.5,18.75,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.32,0.63,0.94
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,125,18.75,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.5,0.66,1.16
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,false,false,Mixed,187.5,18.75,250,25,,,,,,,,3,3,3,3,Tables 1‑15,,,,,,0.73,0.56,1.29
