paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,80,,,0,0,,,,kg N ha-1,3,3,,,Table 3,6.0,,,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,80,,,50,50,,,,kg N ha-1,3,3,,,Table 3,5.9,,,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,,350,,0,0,,,,kg N ha-1,3,3,,,Table 3,,3.9,,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,,350,,50,50,,,,kg N ha-1,3,3,,,Table 3,,5.9,,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,,,,,,0,0,0,kg N ha-1,,,3,3,Table 3,,,2.2,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,,,,,,50,50,50,kg N ha-1,,,3,3,Table 3,,,1.1,,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,,,,,,,,,kg N ha-1,,,,,Table 3,,,,2.9,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,Lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,,,,,,,,,,,kg N ha-1,,,,,Table 3,,,,4.9,Mg ha-1,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized Complete Block Design (RCBD),,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,80,350,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 2 (Experiment I),,,,,,,,1.23
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized Complete Block Design (RCBD),,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,80,350,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 2 (Experiment I),,,,,,,,1.23
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized Complete Block Design (RCBD),,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,80,350,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 2 (Experiment I),,,,,,,,1.27
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,direct_llm,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,Randomized Complete Block Design (RCBD),,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,Mixed,40,175,80,350,,0,0,0,0,0,kg N ha-1,3,3,3,3,Table 2 (Experiment I),,,,,,,,1.15
