paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,0,,,,,kg N ha⁻¹,3,3,3,3,Table 1,6.0,,,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,50,,,,,kg N ha⁻¹,3,3,3,3,Table 1,5.9,,,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,0,,,,kg N ha⁻¹,3,3,3,3,Table 1,,3.9,,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,50,,,,kg N ha⁻¹,3,3,3,3,Table 1,,5.9,,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,0,,,kg N ha⁻¹,3,3,3,3,Table 1,,,2.2,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,50,,,kg N ha⁻¹,3,3,3,3,Table 1,,,1.1,,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,0,,kg N ha⁻¹,3,3,3,3,Table 1,,,,2.9,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,,,,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,50,,kg N ha⁻¹,3,3,3,3,Table 1,,,,4.9,Mg ha⁻¹,,,
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,randomized split‑plot design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.22
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,randomized split‑plot design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.11
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,randomized split‑plot design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.14
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1982,,randomized split‑plot design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.13
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.21
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.02
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.17
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.12
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.1
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.0
007_Hauggaard_Nielsen_2001_Evaluating_pea_and_barley_c,7,7,static_workflow,Hauggaard-Nielsen 2001 Evaluating pea and barley cultivars for complementarity in intercropping,1984,,lattice square design,,,,,,55.6833,12.0833,Europe,Pea,Barley,legume,cereal,0,0,50:50 replacement,,,80,350,,,,,,,,3,3,3,3,Table 2,,,,,,,,1.0
