paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Wheat,,cereal,,1,,,,,,448,,,80,,,,kg ha-1,4,4,4,4,Table 1,,30.49,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Wheat,legume,cereal,1,1,,198,162,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,13.29,12.28,Mg ha-1,,,1.05
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Wheat,legume,cereal,1,1,,234,126,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,12.78,8.28,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Triticale,,cereal,,1,,,,,,459,,,80,,,,kg ha-1,4,4,4,4,Table 1,,30.74,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Triticale,legume,cereal,1,1,,198,162,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,9.43,12.57,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Triticale,legume,cereal,1,1,,234,126,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,13.81,8.31,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Barley,,cereal,,1,,,,,,455,,,80,,,,kg ha-1,4,4,4,4,Table 1,,30.09,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Barley,legume,cereal,1,1,,198,162,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,6.85,19.55,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Barley,legume,cereal,1,1,,234,126,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,9.88,13.18,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Oat,,cereal,,1,,,,,,455,,,80,,,,kg ha-1,4,4,4,4,Table 1,,33.23,,,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Oat,legume,cereal,1,1,,198,162,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,7.67,19.7,Mg ha-1,,,
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,Oat,legume,cereal,1,1,,234,126,,,,,,,,,kg ha-1,4,4,4,4,Table 1,,,11.97,14.37,Mg ha-1,,,1.09
010_Dhima_2006_Competition_indices_of_common_vetch_and,10,10,static_workflow,Dhima 2006 Competition indices of common vetch and cereal intercrops in two seeding ratio,2003–2005,,completely randomized block,,,,,,40.050556,2.085833,Europe,Vetch,,legume,,1,,,,,314,,,80,,,,,kg ha-1,4,4,4,4,Table 1,20.49,,,,Mg ha-1,,,
