paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,4.2,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,552,60.4,g m-2,,,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,6.8,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,500,66.0,g m-2,,,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,6.0,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,476,77.4,g m-2,,,1.3
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,4.3,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,514,60.9,g m-2,,,1.2
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,115.2,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,three growing seasons,RCBD,4 November 2001,26 April 2002,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,,,,,,,,,,,kg ha-1,4,4,4,4,Table 3,761,,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,three growing seasons,RCBD,2 November 2002,25 April 2003,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,509,5.2,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,416,57.4,g m-2,,,1.46
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,three growing seasons,RCBD,2 November 2002,25 April 2003,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,378,7.6,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,362,67.0,g m-2,,,1.41
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,three growing seasons,RCBD,2 November 2002,25 April 2003,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,452,6.4,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,392,58.1,g m-2,,,1.4
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,mas,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,three growing seasons,RCBD,2 November 2002,25 April 2003,,,,36.12,116.37,Asia,Triticum aestivum L.,Gossypium hirsutum L.,cereal,fiber,0,0,Strip,431,4.4,,,,,,,,,kg ha-1,4,4,4,4,Table 3,,,395,49.2,g m-2,,,1.3
