paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,5,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,4.2,552,g m-2,,,1.25
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,6.8,500,g m-2,,,1.23
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,6.0,476,g m-2,,,1.3
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,4.3,514,g m-2,,,1.2
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,761,,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2002,,Randomized Complete Block Design (RCBD),4 November 2001,26 April 2002,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,115.2,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,509,5.2,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,416,57.4,g m-2,,,1.46
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,378,7.6,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,362,67.0,g m-2,,,1.41
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,452,6.4,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,392,58.1,g m-2,,,1.4
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,431,4.4,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,395,49.2,g m-2,,,1.3
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,712,,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2003,,Randomized Complete Block Design (RCBD),2 November 2002,25 April 2003,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,93.3,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,540,5.3,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,585,69.5,g m-2,,,1.46
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,472,8.1,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,513,90.2,g m-2,,,1.53
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,538,6.6,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,502,87.4,g m-2,,,1.48
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,Strip,511,5.2,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,,516,65.6,g m-2,,,1.33
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,738,,,,g m-2,,,
026_Zhang_et_al_2007_Growth_yield_and_quality_of_wheat,26,26,static_workflow,"Zhang et al 2007 Growth, yield and quality of wheat and cotton in relay strop intercropping systems",2004,,Randomized Complete Block Design (RCBD),3 November 2003,25 April 2004,June,,,36.117,111.367,Asia,Wheat,Cotton,cereal,fiber,0,0,,,,,,,,,,,300-400,kg N ha-1,,,,,Table 1,,117.0,,,g m-2,,,
