paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,,,86,267,,0,0,,,,kg N ha−1,4,4,,,Table 2,490,,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,43,134,,,,,,0,0,0,kg N ha−1,,,4,4,Table 2,,,455,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,,,37,,,0,,,,,kg N ha−1,4,,,,Table 2,347,,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,19,,,,,,,0,,0,kg N ha−1,,,4,,Table 2,,,394,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,,,109,,,0,,,,,kg N ha−1,4,,,,Table 2,416,,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,21 August 2001,21 August 2001,,55.6667,12.3,Europe,Lupinus angustifolius,Hordeum vulgare,legume,cereal,0,0,Row,55,,,,,,,0,,0,kg N ha−1,,,4,,Table 2,,,337,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.0667,9.1333,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,,,107,275,,0,0,,,,kg N ha−1,4,4,,,Table 2,268,,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.0667,9.1333,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Row,55,148,,,,,,0,0,0,kg N ha−1,,,4,4,Table 2,,,231,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.0667,9.1333,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,,,47,,,0,,,,,kg N ha−1,4,,,,Table 2,132,,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,direct_llm,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,Randomized Complete Block Design (RCBD),3 May 2001,3 May 2001,23 August 2001,23 August 2001,,54.0667,9.1333,Europe,Vicia faba,Hordeum vulgare,legume,cereal,0,0,Row,25,,,,,,,0,,0,kg N ha−1,,,4,,Table 2,,,207,,g/m2,,,
