paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,21 August 2001,,,55.07,12.3,,Pea,Barley,legume,cereal,0,0,Mixed,43,134,86,267,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",490,339,455,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,21 August 2001,,,55.07,12.3,,Faba bean,Barley,legume,cereal,0,0,Mixed,19,,37,,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",347,339,394,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,21 August 2001,,,55.07,12.3,,Lupin,Barley,legume,cereal,0,0,Mixed,55,,109,,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",416,339,337,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,21 August 2001,,,55.07,12.3,,,Barley,,cereal,,0,,,,,267,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",,339,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,21 August 2001,,,55.07,12.3,,,Barley,,cereal,,0,,,,,267,,,50,,,,kg N ha⁻¹,4,,,,"Table 1,2",,430,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,23 August 2001,,,54.08,9.13,,Pea,Barley,legume,cereal,0,0,Mixed,55,148,107,275,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",268,211,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,23 August 2001,,,54.08,9.13,,Faba bean,Barley,legume,cereal,0,0,Mixed,25,,47,,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",132,211,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,23 August 2001,,,54.08,9.13,,Lupin,Barley,legume,cereal,0,0,Mixed,79,,135,,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",269,211,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,23 August 2001,,,54.08,9.13,,,Barley,,cereal,,0,,,,,275,,,,,,,kg N ha⁻¹,4,,,,"Table 1,2",,211,,,g/m2,,,
032_Knudsen_et_al_2004_Comparison_of_interspecific_com,32,32,static_workflow,Knudsen et al 2004 Comparison of interspecific competition and N use in intercrops grown a,2001,,complete one‑factorial randomized block design,3 May 2001,,23 August 2001,,,54.08,9.13,,,Barley,,cereal,,0,,,,,275,,,50,,,,kg N ha⁻¹,4,,,,"Table 1,2",,253,,,g/m2,,,
