paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,,cereal,,0,,,,,53333,,,,,,,,,4,,,,Table 4,1.97,,,,t ha⁻¹,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,,cereal,,0,,,,,53333,,,,,,,,,4,,,,Table 4,4.64,,,,t ha⁻¹,,,
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Hill,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,1.63,3.64,t ha⁻¹,,,1.72
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Hill,20000,5000,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,2.57,3.64,t ha⁻¹,,,1.72
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Hill,20000,5000,53333,10000,,,,,,,,4,4,4,4,Table 7,,,,,t ha⁻¹,,,1.48
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,1.51,3.65,t ha⁻¹,,,1.67
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,2.41,3.65,t ha⁻¹,,,1.67
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cassava,cereal,root crop,0,0,Row,26667,4444,53333,10000,,,,,,,,4,4,4,4,Table 7,,,,,t ha⁻¹,,,1.41
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2002,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cowpea,cereal,legume,0,0,Hill,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,1.3,0.77,t ha⁻¹,,,1.3
033_Chabi_Olaye_et_al_2005_Relationships_of_intercropp,33,33,static_workflow,"Chabi-Olaye et al 2005 Relationships of intercropped maize, stem borer damage to maize yield and land-use",2003,,randomized complete block design,,,,,,4.083,1.226,Africa,Maize,Cowpea,cereal,legume,0,0,Hill,26667,53333,53333,106667,,,,,,,,4,4,4,4,"Table 4, Table 6, Table 7",,,2.44,0.77,t ha⁻¹,,,1.3
