paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,150,20,,80,40,,,40,kg N ha−1,4,4,4,4,Table 2,904.0,298.4,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,300,40,,80,40,,,40,kg N ha−1,4,4,4,4,Table 2,998.1,440.1,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,450,70,,80,40,,,40,kg N ha−1,4,4,4,4,Table 2,962.2,516.7,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,600,100,,80,40,,,40,kg N ha−1,4,4,4,4,Table 2,1155.4,620.1,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,750,130,,80,40,,,40,kg N ha−1,4,4,4,4,Table 2,975.1,698.8,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,150,20,,80,40,,,40,kg N ha−1,4,4,4,4,Table 3,432.4,157.0,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,300,40,,80,40,,,40,kg N ha−1,4,4,4,4,Table 3,430.6,253.0,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,450,70,,80,40,,,40,kg N ha−1,4,4,4,4,Table 3,466.1,271.8,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,600,100,,80,40,,,40,kg N ha−1,4,4,4,4,Table 3,510.0,331.0,,,,0.33,0.72,
034_Helenius_et_al_1994_Yield_advantage_and_competitio,34,34,static_workflow,Helenius et al 1994 Yield advantage and competition in intercropped oats and faba bean,1988,,Randomized Complete Block Design (RCBD),7 May 1988,7 May 1988,,,,61.2,,Europe,oats,faba bean,cereal,legume,0,0,Row,,,750,130,,80,40,,,40,kg N ha−1,4,4,4,4,Table 3,456.5,347.9,,,,0.33,0.72,
