paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,0.74,,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,0.62,,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Cicer arietinum,Triticum aestivum,legume,cereal,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,,1.38,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Cicer arietinum,Triticum aestivum,legume,cereal,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,,1.01,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,,0.73,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Lens culinaris,Triticum aestivum,legume,cereal,0,0,,,,8,4,,,,,,,,4,4,,,Table 1,,0.92,,,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Mixed,4,2,8,4,,,,,,,,4,4,4,4,Table 1,,,0.74,1.63,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Mixed,4,2,8,4,,,,,,,,4,4,4,4,Table 1,,,0.62,0.89,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Lens culinaris,cereal,legume,0,0,Mixed,4,2,8,4,,,,,,,,4,4,4,4,Table 1,,,0.78,0.44,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2005,60 days,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Triticum aestivum,Lens culinaris,cereal,legume,0,0,Mixed,4,2,8,4,,,,,,,,4,4,4,4,Table 1,,,0.66,0.32,g plant-1,,,
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2004-2005,,Split-plot with six replicates,October 2004,19 March 2005,24 July 2005,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Strip,,,,,,,,,,,,6,6,6,6,Table 4,3096,,,,kg ha-1,,,1.23
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2004-2005,,Split-plot with six replicates,October 2004,19 March 2005,24 July 2005,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Strip,,,,,,,,,,,,6,6,6,6,Table 4,,2771,,,kg ha-1,,,1.23
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2004-2005,,Split-plot with six replicates,October 2004,19 March 2005,24 July 2005,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Strip,,,,,,,,,,,,6,6,6,6,Table 4,,,2791,,kg ha-1,,,1.23
039_Gunes_et_al_2007_Mineral_nutrition_of_wheat_chickp,39,39,direct_llm,"Gunes et al 2007 Mineral nutrition of wheat, chickpea and lentil as affected by mixed cropping and soil mo",2004-2005,,Split-plot with six replicates,October 2004,19 March 2005,24 July 2005,,,,,Asia,Triticum aestivum,Cicer arietinum,cereal,legume,0,0,Strip,,,,,,,,,,,,6,6,6,6,Table 4,,,,909,kg ha-1,,,1.23
