paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,2853,,,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,2737,,,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,1427,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,1423,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,1177,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,1235,,,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,,889,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,,864,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 1,,,,937,kg/ha,,,
041_Willey_et_al_1981_A_field_technique_for_separating,41,41,static_workflow,Willey et al 1981 A field technique for separating above and below ground interactions in intercropping,1979,110 days,Randomized block design with two replicates,24 July 1979,24 July 1979,80 days after sowing,110 days after sowing,,17.5,78.5,Asia,Pearl millet,Groundnut,cereal,legume,0,0,Row,,,,,,80,,,,,kg/ha,2,,,,Table 2,,,,,kg/ha,0.45,0.72,1.17
