paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,,cereal,,0,,,,,,,,0,,,,,kg ha−1,4,,,,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,,cereal,,0,,,,,,,,67,,,,,kg ha−1,4,,,,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Black medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Barrel medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Burr medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Robust,cereal,,0,,,,,,,,,,,,,kg ha−1,,,,,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Royal,cereal,,0,,,,,,,,,,,,,kg ha−1,,,,,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Black medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Barrel medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
046_Moynihan_et_al_1996_Intercropping_annual_medic_wit,46,46,static_workflow,Moynihan et al 1996 Intercropping annual medic with conventional height and semidwarf barley grown for grain,1993,,randomized complete block replicated four times,22 Apr 1993,,30 Jul 1993,,,,,,Barley,Burr medic,cereal,legume,0,0,mixed,,330,,,,,,0,0,,kg ha−1,,,4,4,Table 1,,,,,,,,
